datetime,lat,lon,mag,depth,referencia,year,month,day,hour,mag_class,depth_class,energy
2020-10-12T14:37:42,-8.5348,-77.8257,3.7,11.0,"9 km al Este-NE de Corongo, Corongo - Ancash",2020,10,12,14,leve,superficial,2.2387211385683468e10
2020-10-22T17:03:36,-8.6313,-77.8837,4.1,132.0,"7 km al Sur-SE de Corongo, Corongo - Ancash",2020,10,22,17,moderado,intermedia,8.91250938133744e10
2020-10-27T07:50:26,-9.2689,-79.2431,3.8,27.0,"76 km al Oeste-SO de Chimbote, Santa - Ancash",2020,10,27,7,leve,superficial,3.1622776601683792e10
2020-11-12T15:57:02,-9.823,-78.9797,4.0,18.0,"82 km al Sur-Oeste de Samanco, Santa -Ancash",2020,11,12,15,moderado,superficial,6.3095734448019424e10
2020-11-12T16:33:11,-10.7821,-78.5519,4.1,39.0,"91 km  al Sur-SO de Huarmey, Huarmey - Ancash",2020,11,12,16,moderado,superficial,8.91250938133744e10
2020-12-07T15:10:46,-8.9549,-79.3446,4.0,31.0,"85 km al Oeste de Chimbote, Santa - Ancash",2020,12,7,15,moderado,superficial,6.3095734448019424e10
2020-12-22T16:16:46,-9.8189,-78.8111,4.1,36.0,"71 km al Sur-SO de Samanco, Santa - Ancash",2020,12,22,16,moderado,superficial,8.91250938133744e10
2020-12-23T07:08:43,-9.424,-79.3579,4.3,31.0,"94 km al Oeste-SO de Chimbote, santa - Ancash",2020,12,23,7,moderado,superficial,1.7782794100389227e11
2021-02-10T06:20:11,-8.7933,-79.0748,3.9,59.0,"62 km al Oeste NO de Chimbote, Santa - Ancash",2021,2,10,6,leve,superficial,4.466835921509617e10
2021-02-11T07:04:40,-9.7003,-78.9547,4.0,26.0,"70 km al SO de Samanco, Santa - Ancash",2021,2,11,7,moderado,superficial,6.3095734448019424e10
2021-02-19T15:15:51,-9.0077,-77.953,3.8,14.0,"16 km al Oeste NO de Caraz, Huaylas - Ancash",2021,2,19,15,leve,superficial,3.1622776601683792e10
2021-02-28T00:13:05,-9.3727,-77.6993,3.7,17.0,"12 km al Sur-SO de Carhuaz, Carhuaz - Ancash",2021,2,28,0,leve,superficial,2.2387211385683468e10
2021-03-06T00:09:48,-9.2369,-79.2022,5.0,33.0,"71 km al Oeste-SO de Chimbote, Santa - Ancash",2021,3,6,0,fuerte,superficial,1.9952623149688828e12
2021-03-23T06:42:55,-9.8606,-78.8932,4.9,28.0,"77 km al Oeste-SO de Casma, Casma - Ancash",2021,3,23,6,moderado,superficial,1.4125375446227554e12
2021-03-30T09:17:18,-10.6132,-78.7168,4.8,29.0,"87 km al SO de Huarmey, Huarmey - Ancash",2021,3,30,9,moderado,superficial,1.0e12
2021-04-23T01:20:43,-10.3204,-78.7778,4.5,25.0,"74 km al Oeste-SO de Huarmey, Huarmey - Ancash",2021,4,23,1,moderado,superficial,3.5481338923357605e11
2021-04-26T01:18:20,-8.6838,-78.7842,3.9,90.0,"48 km al Norte NO de Chimbote, Santa - Ancash",2021,4,26,1,leve,intermedia,4.466835921509617e10
2021-05-13T11:43:26,-9.4105,-79.267,3.8,30.0,"84 km al Oeste-SO de Chimbote, Santa - Ancash",2021,5,13,11,leve,superficial,3.1622776601683792e10
2021-05-27T18:42:04,-9.4852,-79.1332,4.0,29.0,"76 km al Sur-Oeste de Chimbote, Santa - Ancash",2021,5,27,18,moderado,superficial,6.3095734448019424e10
2021-06-15T23:19:39,-9.9556,-78.8563,4.1,46.0,"81 km al Sur-Oeste de Casma, Casma - Ancash",2021,6,15,23,moderado,superficial,8.91250938133744e10
2021-08-18T13:11:10,-8.6746,-77.8449,3.6,16.0,"16 km al Norte de Huallanca, Huaylas - Ancash",2021,8,18,13,leve,superficial,1.5848931924611109e10
2021-08-20T00:44:30,-8.678,-77.8573,3.6,12.0,"16 km al N de Huallanca, Huaylas - Ancash",2021,8,20,0,leve,superficial,1.5848931924611109e10
2021-08-30T09:06:13,-8.675,-77.8435,3.9,16.0,"16 km al Norte de Huallanca, Huaylas - Ancash",2021,8,30,9,leve,superficial,4.466835921509617e10
2021-09-03T03:33:19,-9.3206,-78.569,3.2,39.0,"28 km al Sur de Chimbote, Santa - Ancash",2021,9,3,3,leve,superficial,3.9810717055349855e9
2021-09-05T05:41:41,-8.6773,-77.8369,3.6,16.0,"16 km al N de Huallanca, Huaylas - Ancash",2021,9,5,5,leve,superficial,1.5848931924611109e10
2021-09-07T02:12:20,-9.1062,-79.1025,3.9,50.0,"57 km al Oeste de Chimbote, Santa - Ancash",2021,9,7,2,leve,superficial,4.466835921509617e10
2021-09-07T04:51:06,-8.8986,-79.1617,3.5,48.0,"66 km al Oeste-NO de Chimbote, Santa - Ancash",2021,9,7,4,leve,superficial,1.1220184543019653e10
2021-09-07T15:43:27,-8.8455,-79.1864,3.8,65.0,"71 km al Oeste NO de Chimbote, Santa - Ancash",2021,9,7,15,leve,superficial,3.1622776601683792e10
2021-09-09T17:58:18,-9.9203,-80.0111,4.4,31.0,"182 km al Oeste-SO de Samanco, Santa - Ancash",2021,9,9,17,moderado,superficial,2.5118864315095822e11
2021-09-11T06:52:15,-11.0461,-79.2427,4.3,33.0,"161 km al Sur SO de Huarmey, Huarmey - Ancash",2021,9,11,6,moderado,superficial,1.7782794100389227e11
