total_cases,total_deaths,new_cases,new_deaths,new_cases_smoothed,new_deaths_smoothed
632.0,14.0,0.0,0.0,6.57,0.14
632.0,14.0,0.0,0.0,6.57,0.14
671.0,14.0,39.0,0.0,5.86,0.0
671.0,14.0,0.0,0.0,5.86,0.0
671.0,14.0,0.0,0.0,5.57,0.0
671.0,14.0,0.0,0.0,5.57,0.0
673.0,15.0,2.0,1.0,5.86,0.14
673.0,15.0,0.0,0.0,5.86,0.14
673.0,15.0,0.0,0.0,5.86,0.14
743.0,15.0,70.0,0.0,10.29,0.14
743.0,15.0,0.0,0.0,10.29,0.14
743.0,15.0,0.0,0.0,10.29,0.14
744.0,15.0,1.0,0.0,10.43,0.14
744.0,15.0,0.0,0.0,10.14,0.0
744.0,15.0,0.0,0.0,10.14,0.0
744.0,15.0,0.0,0.0,10.14,0.0
817.0,15.0,73.0,0.0,10.57,0.0
817.0,15.0,0.0,0.0,10.57,0.0
818.0,15.0,1.0,0.0,10.71,0.0
818.0,15.0,0.0,0.0,10.57,0.0
818.0,15.0,0.0,0.0,10.57,0.0
818.0,15.0,0.0,0.0,10.57,0.0
828.0,15.0,10.0,0.0,12.0,0.0
859.0,15.0,31.0,0.0,6.0,0.0
859.0,15.0,0.0,0.0,6.0,0.0
859.0,15.0,0.0,0.0,5.86,0.0
859.0,15.0,0.0,0.0,5.86,0.0
859.0,15.0,0.0,0.0,5.86,0.0
859.0,15.0,0.0,0.0,5.86,0.0
859.0,15.0,0.0,0.0,4.43,0.0
935.0,15.0,76.0,0.0,10.86,0.0
935.0,15.0,0.0,0.0,10.86,0.0
935.0,15.0,0.0,0.0,10.86,0.0
935.0,15.0,0.0,0.0,10.86,0.0
935.0,15.0,0.0,0.0,10.86,0.0
935.0,15.0,0.0,0.0,10.86,0.0
935.0,15.0,0.0,0.0,10.86,0.0
970.0,15.0,35.0,0.0,5.0,0.0
970.0,15.0,0.0,0.0,5.0,0.0
970.0,15.0,0.0,0.0,5.0,0.0
971.0,15.0,1.0,0.0,5.14,0.0
971.0,15.0,0.0,0.0,5.14,0.0
971.0,15.0,0.0,0.0,5.14,0.0
971.0,15.0,0.0,0.0,5.14,0.0
1017.0,16.0,46.0,1.0,6.71,0.14
1017.0,16.0,0.0,0.0,6.71,0.14
1017.0,16.0,0.0,0.0,6.71,0.14
1017.0,16.0,0.0,0.0,6.57,0.14
1017.0,16.0,0.0,0.0,6.57,0.14
1017.0,16.0,0.0,0.0,6.57,0.14
1017.0,16.0,0.0,0.0,6.57,0.14
1045.0,16.0,28.0,0.0,4.0,0.0
1045.0,16.0,0.0,0.0,4.0,0.0
1045.0,16.0,0.0,0.0,4.0,0.0
1045.0,16.0,0.0,0.0,4.0,0.0
1045.0,16.0,0.0,0.0,4.0,0.0
1045.0,16.0,0.0,0.0,4.0,0.0
1045.0,16.0,0.0,0.0,4.0,0.0
1066.0,16.0,21.0,0.0,3.0,0.0
1066.0,16.0,0.0,0.0,3.0,0.0
1066.0,16.0,0.0,0.0,3.0,0.0
1066.0,16.0,0.0,0.0,3.0,0.0
1066.0,16.0,0.0,0.0,3.0,0.0
1066.0,16.0,0.0,0.0,3.0,0.0
1066.0,16.0,0.0,0.0,3.0,0.0
1088.0,16.0,22.0,0.0,3.14,0.0
1088.0,16.0,0.0,0.0,3.14,0.0
1088.0,16.0,0.0,0.0,3.14,0.0
1088.0,16.0,0.0,0.0,3.14,0.0
1088.0,16.0,0.0,0.0,3.14,0.0
1088.0,16.0,0.0,0.0,3.14,0.0
1088.0,16.0,0.0,0.0,3.14,0.0
1113.0,16.0,25.0,0.0,3.57,0.0
1113.0,16.0,0.0,0.0,3.57,0.0
1113.0,16.0,0.0,0.0,3.57,0.0
1113.0,16.0,0.0,0.0,3.57,0.0
1113.0,16.0,0.0,0.0,3.57,0.0
1113.0,16.0,0.0,0.0,3.57,0.0
1113.0,16.0,0.0,0.0,3.57,0.0
1148.0,16.0,35.0,0.0,5.0,0.0
1148.0,16.0,0.0,0.0,5.0,0.0
1148.0,16.0,0.0,0.0,5.0,0.0
1148.0,16.0,0.0,0.0,5.0,0.0
1148.0,16.0,0.0,0.0,5.0,0.0
1148.0,16.0,0.0,0.0,5.0,0.0
1148.0,16.0,0.0,0.0,5.0,0.0
1191.0,16.0,43.0,0.0,6.14,0.0
1191.0,16.0,0.0,0.0,6.14,0.0
1191.0,16.0,0.0,0.0,6.14,0.0
1191.0,16.0,0.0,0.0,6.14,0.0
1191.0,16.0,0.0,0.0,6.14,0.0
1192.0,16.0,1.0,0.0,6.29,0.0
1192.0,16.0,0.0,0.0,6.29,0.0
1225.0,16.0,33.0,0.0,4.86,0.0
1226.0,16.0,1.0,0.0,5.0,0.0
1226.0,16.0,0.0,0.0,5.0,0.0
1226.0,16.0,0.0,0.0,5.0,0.0
1226.0,16.0,0.0,0.0,5.0,0.0
1226.0,16.0,0.0,0.0,4.86,0.0
1226.0,16.0,0.0,0.0,4.86,0.0
1238.0,16.0,12.0,0.0,1.86,0.0
1238.0,16.0,0.0,0.0,1.71,0.0
1238.0,16.0,0.0,0.0,1.71,0.0
1238.0,16.0,0.0,0.0,1.71,0.0
1238.0,16.0,0.0,0.0,1.71,0.0
1238.0,16.0,0.0,0.0,1.71,0.0
1238.0,16.0,0.0,0.0,1.71,0.0
1248.0,16.0,10.0,0.0,1.43,0.0
1248.0,16.0,0.0,0.0,1.43,0.0
1248.0,16.0,0.0,0.0,1.43,0.0
1248.0,16.0,0.0,0.0,1.43,0.0
1248.0,16.0,0.0,0.0,1.43,0.0
1248.0,16.0,0.0,0.0,1.43,0.0
1248.0,16.0,0.0,0.0,1.43,0.0
1256.0,16.0,8.0,0.0,1.14,0.0
1256.0,16.0,0.0,0.0,1.14,0.0
1256.0,16.0,0.0,0.0,1.14,0.0
1256.0,16.0,0.0,0.0,1.14,0.0
1256.0,16.0,0.0,0.0,1.14,0.0
1256.0,16.0,0.0,0.0,1.14,0.0
1256.0,16.0,0.0,0.0,1.14,0.0
1298.0,16.0,42.0,0.0,6.0,0.0
1298.0,16.0,0.0,0.0,6.0,0.0
1298.0,16.0,0.0,0.0,6.0,0.0
1298.0,16.0,0.0,0.0,6.0,0.0
1298.0,16.0,0.0,0.0,6.0,0.0
1298.0,16.0,0.0,0.0,6.0,0.0
1298.0,16.0,0.0,0.0,6.0,0.0
1327.0,17.0,29.0,1.0,4.14,0.14
1327.0,17.0,0.0,0.0,4.14,0.14
1327.0,17.0,0.0,0.0,4.14,0.14
1327.0,17.0,0.0,0.0,4.14,0.14
1327.0,17.0,0.0,0.0,4.14,0.14
1327.0,17.0,0.0,0.0,4.14,0.14
1327.0,17.0,0.0,0.0,4.14,0.14
1362.0,17.0,35.0,0.0,5.0,0.0
1362.0,17.0,0.0,0.0,5.0,0.0
1362.0,17.0,0.0,0.0,5.0,0.0
1362.0,17.0,0.0,0.0,5.0,0.0
1362.0,17.0,0.0,0.0,5.0,0.0
1362.0,17.0,0.0,0.0,5.0,0.0
1362.0,17.0,0.0,0.0,5.0,0.0
1390.0,17.0,28.0,0.0,4.0,0.0
1390.0,17.0,0.0,0.0,4.0,0.0
1390.0,17.0,0.0,0.0,4.0,0.0
1390.0,17.0,0.0,0.0,4.0,0.0
