variable,coeficiente,impacto_abs
lon,-0.2590882579442933,0.2590882579442933
lat,-0.13631649242203928,0.13631649242203928
year,-0.022978575481699612,0.022978575481699612
day,0.007925364853531451,0.007925364853531451
depth,0.002416414231342403,0.002416414231342403
month,0.0009268813268106058,0.0009268813268106058
