FECHA_CORTE;ANIO;COD_DPTO;NOM_DPTO;NOM_MUSEO;COD_MES;NOM_MES;COD_TIPO;NOM_TIPO;ADU_BOLESPPAGANTES;EST_BOLESPPAGANTES;NIN_BOLESPPAGANTES;MIL_BOLESPPAGANTES;ADM_BOLESPPAGANTES;ADU_PAGANTES;EST_PAGANTES;NIN_PAGANTES;TOTAL_PAGANTES;ADU_BOLESPNOPAGANTES;EST_BOLESPNOPAGANTES;NIN_BOLESPNOPAGANTES;MIL_BOLESPNOPAGANTES;ADM_BOLESPNOPAGANTES;ADU_NOPAGANTES;EST_NOPAGANTES;NIN_NOPAGANTES;TOTAL_NOPAGANTES;TOTAL;TIPO_cat_cod
20250123;2020;11;Ica;Reserva Arqueologica Lineas y Geoglifos de Nazca;07;Julio;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;11;Ica;Reserva Arqueologica Lineas y Geoglifos de Nazca;07;Julio;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;11;Ica;Reserva Arqueologica Lineas y Geoglifos de Nazca;08;Agosto;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;11;Ica;Reserva Arqueologica Lineas y Geoglifos de Nazca;08;Agosto;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;11;Ica;Reserva Arqueologica Lineas y Geoglifos de Nazca;08;Agosto;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;11;Ica;Reserva Arqueologica Lineas y Geoglifos de Nazca;09;Setiembre;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;11;Ica;Reserva Arqueologica Lineas y Geoglifos de Nazca;09;Setiembre;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;11;Ica;Reserva Arqueologica Lineas y Geoglifos de Nazca;09;Setiembre;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;11;Ica;Reserva Arqueologica Lineas y Geoglifos de Nazca;10;Octubre;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;11;Ica;Reserva Arqueologica Lineas y Geoglifos de Nazca;10;Octubre;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;11;Ica;Reserva Arqueologica Lineas y Geoglifos de Nazca;10;Octubre;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;11;Ica;Reserva Arqueologica Lineas y Geoglifos de Nazca;11;Noviembre;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;11;Ica;Reserva Arqueologica Lineas y Geoglifos de Nazca;11;Noviembre;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;11;Ica;Reserva Arqueologica Lineas y Geoglifos de Nazca;11;Noviembre;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;11;Ica;Reserva Arqueologica Lineas y Geoglifos de Nazca;12;Diciembre;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;11;Ica;Reserva Arqueologica Lineas y Geoglifos de Nazca;12;Diciembre;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;11;Ica;Reserva Arqueologica Lineas y Geoglifos de Nazca;12;Diciembre;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);01;Enero;0;Nacionales;0;0;0;0;0;2,534;1,925;1,280;5,739;0;0;0;0;0;1,083;515;348;1,946;7,685;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);01;Enero;1;Extranjeros;0;0;0;0;0;1,614;882;103;2,599;0;0;0;0;0;0;0;0;0;2,599;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);01;Enero;2;Nacionales Y Extranjeros;0;0;0;0;0;4,148;2,807;1,383;8,338;0;0;0;0;0;1,083;515;348;1,946;10,284;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);02;Febrero;0;Nacionales;0;0;0;0;0;3,643;2,898;1,842;8,383;0;0;0;0;0;1,151;281;236;1,668;10,051;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);02;Febrero;1;Extranjeros;0;0;0;0;0;1,759;1,414;0;3,173;0;0;0;0;0;0;0;0;0;3,173;Sitio Arqueológico
