fecha,hora,latitud,longitud,profundidad,magnitud,intensidad,referencia,reporte_acelerometrico_pdf
,,-8.26,-74.43,191,4.7,II Pucallpa,17 km al Nor-Este de Pucallpa,
,,-14.23,-75.29,108,4.9,"III Palpa, Ica, Nazca; II-III Pisco, San Juan de Marcona, Chincha; II Tambo de Mora, Cañete, Acarí, Lunahuná",20 km al Sur-Oeste de Tibillo,
,,-12.1,-77.41,39,4.2,"II Callao, Lima",29 Km al Oeste del Callao,
,,-15.73,-71.75,10,3.6,II Maca,10 Km al Sur de Maca,
,,-13.61,-70.53,15,3.6,II San Gabán,19 Km al Sur-SO de San Gabán,
,,-13.61,-71.19,20,3.6,II Andahuaylillas,52 Km al Este de Andahuaylillas,
,,-15.7,-72.04,12,3.6,II Huambo,8 Km al Este-NE de Huambo,
,,-16.73,-71.5,25,3.5,II Arequipa,38 Km al Sur de Arequipa,
,,-12.97,-76.64,62,4.3,"III San Vicente de Cañete, II Mala, Lunahuana",30 Km al Oeste-NO de Cañete,
,,-16.71,-71.62,25,3.5,II Arequipa,37 Km al Sur-SO de Arequipa,
,,-12.81,-77.02,47,4,II Chilca,45 Km al Sur Oeste de Chilca,
,,-11.87,-75.21,11,4.5,"IV-V Pucacocha, Badopampa, IV Concepción, III-IV Andamarca,  III Huancayo, II Chupaca",12 Km al Este NE de Concepción,
,,-15.66,-71.71,11,3.9,II Maca,7 km al Este-SE de Maca,
,,-15.4,-71.51,13,4.2,"III Chivay; II Maca, Madrigal",27 Km al Norte-NE de Chivay,
,,-15.67,-71.77,13,3.6,II Maca,3 Km al Sur de Maca,
,,-17.96,-71.15,30,4.1,II Ilo,41 Km al Sur SE de Ilo,
,,-16.26,-73.73,26,4.3,II-III Atico,13 Km al Oeste-SO de Atico,
,,-16.56,-72.79,76,4.1,II Camaná,11 km al Oeste-NO de Camaná,
,,-12.63,-76.97,53,4.5,"III Chilca, II-III Mala, II Lima, Callao",28 Km al Oeste-SO de Chilca,
,,-14.34,-76.32,21,4.4,"III Pisco, II Ica",72 Km al Sur de Pisco,
,,-14.35,-76.32,23,4,II Pisco,72 Km al Sur de Pisco,
,,-9.57,-76.03,12,4.2,II Tingo Maria,32 Km al Sur de Tingo María,
