profundidad,tipomagnitud,id_pdf_tematico,intensidad,referencia3,createdAt,latitud,reporte_acelerometrico_pdf,longitud,hora_utc,hora_local,mapa,idlistasismos,publicado,referencia,updatedAt,referencia2,informe,codigo,numero_reporte,magnitud,fecha_utc,fecha_local
43,,0,II-III Chimbote,,2026-01-02T13:19:24.000Z,-9.02,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20260005_20260102_131600.pdf,-79.14,1970-01-01T13:16:00.000Z,1970-01-01T08:16:00.000Z,,10816,1,"61 km al O de Chimbote, Santa - Áncash",2026-01-02T13:19:24.000Z,,,2026-0005,5,3.7,2026-01-02T00:00:00.000Z,2026-01-02T00:00:00.000Z
43,,0,II-III Chimbote,,2026-01-03T00:13:32.000Z,-8.96,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20260007_20260103_000959.pdf,-79.2,1970-01-01T00:09:59.000Z,1970-01-01T19:09:59.000Z,,10818,1,"69 km al O de Chimbote, Santa - Áncash",2026-01-03T00:13:32.000Z,,,2026-0007,7,3.8,2026-01-03T00:00:00.000Z,2026-01-02T00:00:00.000Z
37,,0,III Chimbote,,2026-01-03T13:21:56.000Z,-9.08,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20260008_20260103_131730.pdf,-79.33,1970-01-01T13:17:30.000Z,1970-01-01T08:17:30.000Z,,10819,1,"82 km al O de Chimbote, Santa - Áncash",2026-01-03T13:21:56.000Z,,,2026-0008,8,4.5,2026-01-03T00:00:00.000Z,2026-01-03T00:00:00.000Z
