profundidad,tipomagnitud,id_pdf_tematico,intensidad,referencia3,createdAt,latitud,reporte_acelerometrico_pdf,longitud,hora_utc,hora_local,mapa,idlistasismos,publicado,referencia,updatedAt,referencia2,informe,codigo,numero_reporte,magnitud,fecha_utc,fecha_local
151,,0,III Pastaza,,2025-01-07T03:45:27.000Z,-2.32,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250015_20250107_033732.pdf,-77.7,1970-01-01T03:37:32.000Z,1970-01-01T22:37:32.000Z,,9986,1,"158 km al NO de Pastaza, Datem del Marañón - Loreto",2025-01-07T03:45:27.000Z,,,2025-0015,15,5,2025-01-07T00:00:00.000Z,2025-01-06T00:00:00.000Z
40,,0,III Sullana,,2025-01-07T07:27:08.000Z,-4.56,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250016_20250107_071938.pdf,-80.8,1970-01-01T07:19:38.000Z,1970-01-01T02:19:38.000Z,,9987,1,"39 km al N de Sullana, Sullana - Piura",2025-01-07T07:27:08.000Z,,,2025-0016,16,3.8,2025-01-07T00:00:00.000Z,2025-01-07T00:00:00.000Z
20,,0,II-III Tocache Nuevo,,2025-01-07T19:47:05.000Z,-8.32,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250017_20250107_194211.pdf,-76.48,1970-01-01T19:42:11.000Z,1970-01-01T14:42:11.000Z,,9988,1,"16 km al S de Tocache Nuevo, Tocache - San Martin",2025-01-07T19:47:05.000Z,,,2025-0017,17,3.6,2025-01-07T00:00:00.000Z,2025-01-07T00:00:00.000Z
113,,0,,,2025-01-08T02:56:55.000Z,-8.83,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250018_20250108_025225.pdf,-74.81,1970-01-01T02:52:25.000Z,1970-01-01T21:52:25.000Z,,9989,1,"58 km al SE de Curimana, Padre Abad - Ucayali",2025-01-08T02:56:55.000Z,,,2025-0018,18,4,2025-01-08T00:00:00.000Z,2025-01-07T00:00:00.000Z
20,,0,III Toquepala,,2025-01-08T12:08:11.000Z,-17.15,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250019_20250108_120255.pdf,-70.67,1970-01-01T12:02:55.000Z,1970-01-01T07:02:55.000Z,,9990,1,"18 km al N de Toquepala, Jorge Basadre - Tacna",2025-01-08T12:08:11.000Z,,,2025-0019,19,3.6,2025-01-08T00:00:00.000Z,2025-01-08T00:00:00.000Z
21,,0,,,2025-01-08T17:47:24.000Z,-8.71,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250020_20250108_174129.pdf,-80.27,1970-01-01T17:41:29.000Z,1970-01-01T12:41:29.000Z,,9991,1,"152 km al SO de Trujillo, Trujillo - La Libertad",2025-01-08T17:47:24.000Z,,,2025-0020,20,4.1,2025-01-08T00:00:00.000Z,2025-01-08T00:00:00.000Z
11,,0,III Cabanaconde,,2025-01-08T17:48:18.000Z,-15.69,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250021_20250108_174158.pdf,-71.99,1970-01-01T17:41:58.000Z,1970-01-01T12:41:58.000Z,,9992,1,"8 km al S de Cabanaconde, Caylloma - Arequipa",2025-01-08T17:48:18.000Z,,,2025-0021,21,3.7,2025-01-08T00:00:00.000Z,2025-01-08T00:00:00.000Z
17,,0,II Cabanaconde,,2025-01-08T18:08:19.000Z,-15.63,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250022_20250108_180315.pdf,-72.02,1970-01-01T18:03:15.000Z,1970-01-01T13:03:15.000Z,,9993,1,"4 km al O de Cabanaconde, Caylloma - Arequipa",2025-01-08T18:08:19.000Z,,,2025-0022,22,3.4,2025-01-08T00:00:00.000Z,2025-01-08T00:00:00.000Z
27,,0,,,2025-01-08T20:04:45.000Z,-6.49,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250023_20250108_200003.pdf,-81.62,1970-01-01T20:00:03.000Z,1970-01-01T15:00:03.000Z,,9994,1,"137 km al SO de Sechura, Sechura - Piura",2025-01-08T20:04:45.000Z,,,2025-0023,23,4.3,2025-01-08T00:00:00.000Z,2025-01-08T00:00:00.000Z
44,,0,II-III Chilca,,2025-01-10T06:21:10.000Z,-12.56,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250024_20250110_061815.pdf,-76.88,1970-01-01T06:18:15.000Z,1970-01-01T01:18:15.000Z,,9995,1,"16 km al O de Chilca, Cañete - Lima",2025-01-10T06:21:10.000Z,,,2025-0024,24,3.6,2025-01-10T00:00:00.000Z,2025-01-10T00:00:00.000Z
