NOM_TIPO;NOM_DPTO;NOM_MUSEO;ADU_BOLESPPAGANTES;EST_BOLESPPAGANTES;NIN_BOLESPPAGANTES;MIL_BOLESPPAGANTES;ADM_BOLESPPAGANTES;TOTAL_PAGANTES
Nacionales;Ancash;Zona Arqueologica Monumental Chavin de Huantar;0;0;0;0;0;13,890
Extranjeros;Ancash;Zona Arqueologica Monumental Chavin de Huantar;0;0;0;0;0;692
Nacionales Y Extranjeros;Ancash;Zona Arqueologica Monumental Chavin de Huantar;0;0;0;0;0;14,582
Nacionales;Ancash;Zona Arqueologica Monumental Chavin de Huantar;0;0;0;0;0;13,458
Extranjeros;Ancash;Zona Arqueologica Monumental Chavin de Huantar;0;0;0;0;0;360
Nacionales Y Extranjeros;Ancash;Zona Arqueologica Monumental Chavin de Huantar;0;0;0;0;0;13,818
Nacionales;Ancash;Zona Arqueologica Monumental Chavin de Huantar;0;0;0;0;0;4,571
Extranjeros;Ancash;Zona Arqueologica Monumental Chavin de Huantar;0;0;0;0;0;491
Nacionales Y Extranjeros;Ancash;Zona Arqueologica Monumental Chavin de Huantar;0;0;0;0;0;5,062
Nacionales;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;14
Extranjeros;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;0
Nacionales Y Extranjeros;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;14
Nacionales;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;164
Extranjeros;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;6
Nacionales Y Extranjeros;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;170
Nacionales;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;22
Extranjeros;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;1
Nacionales Y Extranjeros;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;23
Nacionales;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;8
