FECHA_CORTE;ANIO;NOM_MES;TOTAL_PAGANTES;TOTAL_NOPAGANTES;TOTAL
20250123;2021;Mayo;79;0;79
20250123;2021;Mayo;0;0;0
20250123;2021;Mayo;79;0;79
20250123;2021;Junio;49;270;319
20250123;2021;Junio;32;0;32
20250123;2021;Junio;81;270;351
20250123;2021;Julio;68;295;363
20250123;2021;Julio;30;0;30
20250123;2021;Julio;98;295;393
20250123;2021;Agosto;107;295;402
20250123;2021;Agosto;0;0;0
20250123;2021;Agosto;107;295;402
20250123;2021;Setiembre;46;306;352
20250123;2021;Setiembre;56;0;56
20250123;2021;Setiembre;102;306;408
20250123;2021;Octubre;46;306;352
20250123;2021;Octubre;56;0;56
20250123;2021;Octubre;102;306;408
20250123;2021;Noviembre;37;192;229
20250123;2021;Noviembre;52;0;52
20250123;2021;Noviembre;89;192;281
20250123;2021;Diciembre;36;308;344
20250123;2021;Diciembre;189;0;189
20250123;2021;Diciembre;225;308;533
20250123;2021;Enero;19,861;2,124;21,985
20250123;2021;Enero;2,465;0;2,465
20250123;2021;Enero;22,326;2,124;24,450
20250123;2021;Febrero;0;0;0
20250123;2021;Febrero;0;0;0
20250123;2021;Febrero;0;0;0
20250123;2021;Marzo;7,728;1,337;9,065
20250123;2021;Marzo;1,000;467;1,467
20250123;2021;Marzo;8,728;1,804;10,532
20250123;2021;Abril;8,059;446;8,505
20250123;2021;Abril;2,799;0;2,799
20250123;2021;Abril;10,858;446;11,304
20250123;2021;Mayo;16,847;1,416;18,263
20250123;2021;Mayo;4,464;1,195;5,659
20250123;2021;Mayo;21,311;2,611;23,922
20250123;2021;Junio;18,296;1,413;19,709
20250123;2021;Junio;9,118;0;9,118
20250123;2021;Junio;27,414;1,413;28,827
20250123;2021;Julio;36,607;2,178;38,785
20250123;2021;Julio;12,369;0;12,369
20250123;2021;Julio;48,976;2,178;51,154
20250123;2021;Agosto;44,884;1,916;46,800
20250123;2021;Agosto;11,644;0;11,644
20250123;2021;Agosto;56,528;1,916;58,444
20250123;2021;Setiembre;36,299;1,530;37,829
20250123;2021;Setiembre;16,602;0;16,602
20250123;2021;Setiembre;52,901;1,530;54,431
20250123;2021;Octubre;43,250;2,369;45,619
20250123;2021;Octubre;19,300;3,664;22,964
20250123;2021;Octubre;62,550;6,033;68,583
20250123;2021;Noviembre;31,198;2,146;33,344
20250123;2021;Noviembre;29,001;0;29,001
20250123;2021;Noviembre;60,199;2,146;62,345
20250123;2021;Diciembre;22,898;2,040;24,938
20250123;2021;Diciembre;26,229;0;26,229
20250123;2021;Diciembre;49,127;2,040;51,167
20250123;2021;Enero;0;0;0
20250123;2021;Enero;0;0;0
20250123;2021;Enero;0;0;0
20250123;2021;Febrero;0;0;0
20250123;2021;Febrero;0;0;0
20250123;2021;Febrero;0;0;0
20250123;2021;Marzo;0;0;0
20250123;2021;Marzo;0;0;0
20250123;2021;Marzo;0;0;0
20250123;2021;Abril;0;0;0
20250123;2021;Abril;0;0;0
20250123;2021;Abril;0;0;0
20250123;2021;Mayo;0;0;0
20250123;2021;Mayo;0;0;0
20250123;2021;Mayo;0;0;0
20250123;2021;Junio;0;0;0
20250123;2021;Junio;0;0;0
20250123;2021;Junio;0;0;0
20250123;2021;Julio;0;0;0
20250123;2021;Julio;33;0;33
20250123;2021;Julio;33;0;33
20250123;2021;Agosto;0;0;0
20250123;2021;Agosto;0;12;12
20250123;2021;Agosto;0;12;12
20250123;2021;Setiembre;0;0;0
20250123;2021;Setiembre;28;0;28
20250123;2021;Setiembre;28;0;28
20250123;2021;Octubre;0;0;0
20250123;2021;Octubre;35;0;35
20250123;2021;Octubre;35;0;35
20250123;2021;Noviembre;0;0;0
20250123;2021;Noviembre;12;0;12
20250123;2021;Noviembre;12;0;12
20250123;2021;Diciembre;0;0;0
20250123;2021;Diciembre;4;0;4
20250123;2021;Diciembre;4;0;4
20250123;2021;Enero;0;0;0
20250123;2021;Enero;0;0;0
20250123;2021;Enero;0;0;0
20250123;2021;Febrero;0;0;0
20250123;2021;Febrero;0;0;0
20250123;2021;Febrero;0;0;0
20250123;2021;Marzo;0;0;0
20250123;2021;Marzo;0;0;0
20250123;2021;Marzo;0;0;0
20250123;2021;Abril;0;0;0
20250123;2021;Abril;0;0;0
20250123;2021;Abril;0;0;0
20250123;2021;Mayo;0;0;0
20250123;2021;Mayo;0;0;0
20250123;2021;Mayo;0;0;0
20250123;2021;Junio;0;0;0
20250123;2021;Junio;0;0;0
20250123;2021;Junio;0;0;0
20250123;2021;Julio;0;0;0
20250123;2021;Julio;0;0;0
20250123;2021;Julio;0;0;0
20250123;2021;Agosto;0;0;0
20250123;2021;Agosto;0;0;0
20250123;2021;Agosto;0;0;0
20250123;2021;Setiembre;0;0;0
20250123;2021;Setiembre;0;0;0
20250123;2021;Setiembre;0;0;0
20250123;2021;Octubre;0;0;0
20250123;2021;Octubre;0;0;0
20250123;2021;Octubre;0;0;0
20250123;2021;Noviembre;0;0;0
20250123;2021;Noviembre;0;0;0
20250123;2021;Noviembre;0;0;0
20250123;2021;Diciembre;0;0;0
20250123;2021;Diciembre;0;0;0
20250123;2021;Diciembre;0;0;0
20250123;2021;Enero;638;0;638
20250123;2021;Enero;0;0;0
20250123;2021;Enero;638;0;638
20250123;2021;Febrero;0;0;0
20250123;2021;Febrero;0;0;0
20250123;2021;Febrero;0;0;0
20250123;2021;Marzo;579;79;658
20250123;2021;Marzo;0;0;0
20250123;2021;Marzo;579;79;658
20250123;2021;Abril;482;0;482
20250123;2021;Abril;0;0;0
20250123;2021;Abril;482;0;482
20250123;2021;Mayo;704;73;777
20250123;2021;Mayo;0;0;0
20250123;2021;Mayo;704;73;777
20250123;2021;Junio;1,127;45;1,172
20250123;2021;Junio;0;0;0
20250123;2021;Junio;1,127;45;1,172
20250123;2021;Julio;1,974;142;2,116
20250123;2021;Julio;0;0;0
20250123;2021;Julio;1,974;142;2,116
20250123;2021;Agosto;1,704;262;1,966
20250123;2021;Agosto;1;0;1
20250123;2021;Agosto;1,705;262;1,967
20250123;2021;Setiembre;1,017;121;1,138
20250123;2021;Setiembre;9;0;9
20250123;2021;Setiembre;1,026;121;1,147
20250123;2021;Octubre;1,046;159;1,205
20250123;2021;Octubre;6;0;6
20250123;2021;Octubre;1,052;159;1,211
20250123;2021;Noviembre;642;178;820
20250123;2021;Noviembre;4;0;4
20250123;2021;Noviembre;646;178;824
20250123;2021;Diciembre;454;78;532
20250123;2021;Diciembre;0;0;0
20250123;2021;Diciembre;454;78;532
20250123;2021;Enero;0;0;0
20250123;2021;Enero;0;0;0
20250123;2021;Enero;0;0;0
20250123;2021;Febrero;0;0;0
20250123;2021;Febrero;0;0;0
20250123;2021;Febrero;0;0;0
20250123;2021;Marzo;0;0;0
20250123;2021;Marzo;0;0;0
20250123;2021;Marzo;0;0;0
20250123;2021;Abril;0;0;0
20250123;2021;Abril;0;0;0
20250123;2021;Abril;0;0;0
20250123;2021;Mayo;0;0;0
20250123;2021;Mayo;0;0;0
20250123;2021;Mayo;0;0;0
20250123;2021;Junio;0;0;0
20250123;2021;Junio;0;0;0
20250123;2021;Junio;0;0;0
20250123;2021;Julio;0;0;0
20250123;2021;Julio;0;0;0
20250123;2021;Julio;0;0;0
20250123;2021;Agosto;0;0;0
20250123;2021;Agosto;0;0;0
20250123;2021;Agosto;0;0;0
20250123;2021;Setiembre;0;0;0
20250123;2021;Setiembre;0;0;0
20250123;2021;Setiembre;0;0;0
20250123;2021;Octubre;0;0;0
20250123;2021;Octubre;0;0;0
20250123;2021;Octubre;0;0;0
20250123;2021;Noviembre;0;0;0
20250123;2021;Noviembre;0;0;0
20250123;2021;Noviembre;0;0;0
20250123;2021;Diciembre;0;0;0
20250123;2021;Diciembre;0;0;0
20250123;2021;Diciembre;0;0;0
20250123;2021;Enero;0;0;0
20250123;2021;Enero;0;0;0
20250123;2021;Enero;0;0;0
20250123;2021;Febrero;0;0;0
20250123;2021;Febrero;0;0;0
20250123;2021;Febrero;0;0;0
20250123;2021;Marzo;0;0;0
20250123;2021;Marzo;0;0;0
20250123;2021;Marzo;0;0;0
20250123;2021;Abril;0;0;0
20250123;2021;Abril;0;0;0
20250123;2021;Abril;0;0;0
20250123;2021;Mayo;0;0;0
20250123;2021;Mayo;0;0;0
20250123;2021;Mayo;0;0;0
20250123;2021;Junio;0;0;0
20250123;2021;Junio;0;0;0
20250123;2021;Junio;0;0;0
20250123;2021;Julio;0;0;0
20250123;2021;Julio;0;0;0
20250123;2021;Julio;0;0;0
20250123;2021;Agosto;0;0;0
20250123;2021;Agosto;0;0;0
20250123;2021;Agosto;0;0;0
20250123;2021;Setiembre;0;0;0
20250123;2021;Setiembre;0;0;0
20250123;2021;Setiembre;0;0;0
20250123;2021;Octubre;0;0;0
20250123;2021;Octubre;0;0;0
20250123;2021;Octubre;0;0;0
20250123;2021;Noviembre;0;0;0
20250123;2021;Noviembre;0;0;0
20250123;2021;Noviembre;0;0;0
20250123;2021;Diciembre;0;0;0
20250123;2021;Diciembre;0;0;0
20250123;2021;Diciembre;0;0;0
20250123;2021;Enero;0;0;0
20250123;2021;Enero;0;0;0
20250123;2021;Enero;0;0;0
20250123;2021;Febrero;0;0;0
20250123;2021;Febrero;0;0;0
20250123;2021;Febrero;0;0;0
20250123;2021;Marzo;0;0;0
20250123;2021;Marzo;0;0;0
20250123;2021;Marzo;0;0;0
20250123;2021;Abril;0;0;0
20250123;2021;Abril;0;0;0
20250123;2021;Abril;0;0;0
20250123;2021;Mayo;0;0;0
20250123;2021;Mayo;0;0;0
20250123;2021;Mayo;0;0;0
20250123;2021;Junio;0;0;0
20250123;2021;Junio;0;0;0
20250123;2021;Junio;0;0;0
20250123;2021;Julio;0;0;0
20250123;2021;Julio;0;0;0
20250123;2021;Julio;0;0;0
20250123;2021;Agosto;0;0;0
20250123;2021;Agosto;0;0;0
20250123;2021;Agosto;0;0;0
20250123;2021;Setiembre;0;0;0
20250123;2021;Setiembre;0;0;0
20250123;2021;Setiembre;0;0;0
20250123;2021;Octubre;0;0;0
20250123;2021;Octubre;0;0;0
20250123;2021;Octubre;0;0;0
20250123;2021;Noviembre;0;0;0
20250123;2021;Noviembre;0;0;0
20250123;2021;Noviembre;0;0;0
20250123;2021;Diciembre;0;0;0
20250123;2021;Diciembre;0;0;0
20250123;2021;Diciembre;0;0;0
20250123;2021;Enero;0;0;0
20250123;2021;Enero;0;0;0
20250123;2021;Enero;0;0;0
20250123;2021;Febrero;0;0;0
20250123;2021;Febrero;0;0;0
20250123;2021;Febrero;0;0;0
20250123;2021;Marzo;0;0;0
20250123;2021;Marzo;0;0;0
20250123;2021;Marzo;0;0;0
20250123;2021;Abril;0;0;0
20250123;2021;Abril;0;0;0
20250123;2021;Abril;0;0;0
20250123;2021;Mayo;2,533;0;2,533
20250123;2021;Mayo;0;0;0
20250123;2021;Mayo;2,533;0;2,533
20250123;2021;Junio;2,415;0;2,415
20250123;2021;Junio;0;0;0
20250123;2021;Junio;2,415;0;2,415
20250123;2021;Julio;5,636;0;5,636
20250123;2021;Julio;480;0;480
20250123;2021;Julio;6,116;0;6,116
20250123;2021;Agosto;7,454;983;8,437
