ANIO;NOM_MES;NOM_DPTO;COD_TIPO;TOTAL_PAGANTES
2007;Noviembre;Arequipa;2;320
2007;Diciembre;Arequipa;0;72
2007;Diciembre;Arequipa;1;71
2007;Diciembre;Arequipa;2;143
2007;Enero;Arequipa;0;4
2007;Enero;Arequipa;1;0
2007;Enero;Arequipa;2;4
2007;Febrero;Arequipa;0;0
2007;Febrero;Arequipa;1;0
2007;Febrero;Arequipa;2;0
2007;Marzo;Arequipa;0;4
2007;Marzo;Arequipa;1;0
2007;Marzo;Arequipa;2;4
2007;Abril;Arequipa;0;10
2007;Abril;Arequipa;1;0
2007;Abril;Arequipa;2;10
2007;Mayo;Arequipa;0;41
2007;Mayo;Arequipa;1;0
2007;Mayo;Arequipa;2;41
2007;Junio;Arequipa;0;23
2007;Junio;Arequipa;1;0
2007;Junio;Arequipa;2;23
2007;Julio;Arequipa;0;38
2007;Julio;Arequipa;1;0
2007;Julio;Arequipa;2;38
2007;Agosto;Arequipa;0;126
2007;Agosto;Arequipa;1;0
2007;Agosto;Arequipa;2;126
2007;Setiembre;Arequipa;0;82
2007;Setiembre;Arequipa;1;0
2007;Setiembre;Arequipa;2;82
2007;Octubre;Arequipa;0;80
2007;Octubre;Arequipa;1;0
2007;Octubre;Arequipa;2;80
2007;Noviembre;Arequipa;0;22
2007;Noviembre;Arequipa;1;0
2007;Noviembre;Arequipa;2;22
2007;Diciembre;Arequipa;0;7
2007;Diciembre;Arequipa;1;0
2007;Diciembre;Arequipa;2;7
2007;Enero;Ayacucho;0;0
2007;Enero;Ayacucho;1;0
2007;Enero;Ayacucho;2;0
2007;Febrero;Ayacucho;0;0
2007;Febrero;Ayacucho;1;0
2007;Febrero;Ayacucho;2;0
2007;Marzo;Ayacucho;0;0
2007;Marzo;Ayacucho;1;0
2007;Marzo;Ayacucho;2;0
2007;Abril;Ayacucho;0;300
2007;Abril;Ayacucho;1;120
2007;Abril;Ayacucho;2;420
2007;Mayo;Ayacucho;0;0
2007;Mayo;Ayacucho;1;0
2007;Mayo;Ayacucho;2;0
2007;Junio;Ayacucho;0;0
2007;Junio;Ayacucho;1;0
2007;Junio;Ayacucho;2;0
2007;Julio;Ayacucho;0;173
2007;Julio;Ayacucho;1;6
2007;Julio;Ayacucho;2;179
2007;Agosto;Ayacucho;0;49
2007;Agosto;Ayacucho;1;2
2007;Agosto;Ayacucho;2;51
2007;Setiembre;Ayacucho;0;93
2007;Setiembre;Ayacucho;1;3
2007;Setiembre;Ayacucho;2;96
2007;Octubre;Ayacucho;0;188
2007;Octubre;Ayacucho;1;0
2007;Octubre;Ayacucho;2;188
2007;Noviembre;Ayacucho;0;386
2007;Noviembre;Ayacucho;1;1
2007;Noviembre;Ayacucho;2;387
2007;Diciembre;Ayacucho;0;405
2007;Diciembre;Ayacucho;1;0
2007;Diciembre;Ayacucho;2;405
2007;Enero;Cajamarca;0;965
2007;Enero;Cajamarca;1;251
2007;Enero;Cajamarca;2;1,216
2007;Febrero;Cajamarca;0;1,071
2007;Febrero;Cajamarca;1;338
2007;Febrero;Cajamarca;2;1,409
2007;Marzo;Cajamarca;0;628
2007;Marzo;Cajamarca;1;203
2007;Marzo;Cajamarca;2;831
2007;Abril;Cajamarca;0;1,777
2007;Abril;Cajamarca;1;214
2007;Abril;Cajamarca;2;1,991
2007;Mayo;Cajamarca;0;686
2007;Mayo;Cajamarca;1;135
2007;Mayo;Cajamarca;2;821
2007;Junio;Cajamarca;0;1,326
2007;Junio;Cajamarca;1;220
2007;Junio;Cajamarca;2;1,546
2007;Julio;Cajamarca;0;1,874
2007;Julio;Cajamarca;1;325
2007;Julio;Cajamarca;2;2,199
2007;Agosto;Cajamarca;0;2,315
2007;Agosto;Cajamarca;1;297
2007;Agosto;Cajamarca;2;2,612
2007;Setiembre;Cajamarca;0;1,826
2007;Setiembre;Cajamarca;1;170
2007;Setiembre;Cajamarca;2;1,996
2007;Octubre;Cajamarca;0;7,041
2007;Octubre;Cajamarca;1;162
2007;Octubre;Cajamarca;2;7,203
2007;Noviembre;Cajamarca;0;7,426
2007;Noviembre;Cajamarca;1;177
2007;Noviembre;Cajamarca;2;7,603
2007;Diciembre;Cajamarca;0;2,075
2007;Diciembre;Cajamarca;1;75
2007;Diciembre;Cajamarca;2;2,150
2007;Enero;Cajamarca;0;2,381
2007;Enero;Cajamarca;1;252
2007;Enero;Cajamarca;2;2,633
2007;Febrero;Cajamarca;0;3,303
2007;Febrero;Cajamarca;1;173
2007;Febrero;Cajamarca;2;3,476
2007;Marzo;Cajamarca;0;1,650
2007;Marzo;Cajamarca;1;190
2007;Marzo;Cajamarca;2;1,840
2007;Abril;Cajamarca;0;2,418
2007;Abril;Cajamarca;1;590
2007;Abril;Cajamarca;2;3,008
2007;Mayo;Cajamarca;0;1,480
2007;Mayo;Cajamarca;1;176
2007;Mayo;Cajamarca;2;1,656
2007;Junio;Cajamarca;0;2,068
2007;Junio;Cajamarca;1;232
2007;Junio;Cajamarca;2;2,300
2007;Julio;Cajamarca;0;3,472
2007;Julio;Cajamarca;1;618
2007;Julio;Cajamarca;2;4,090
2007;Agosto;Cajamarca;0;3,467
2007;Agosto;Cajamarca;1;523
2007;Agosto;Cajamarca;2;3,990
2007;Setiembre;Cajamarca;0;2,391
2007;Setiembre;Cajamarca;1;173
2007;Setiembre;Cajamarca;2;2,564
2007;Octubre;Cajamarca;0;8,828
2007;Octubre;Cajamarca;1;281
2007;Octubre;Cajamarca;2;9,109
2007;Noviembre;Cajamarca;0;11,371
2007;Noviembre;Cajamarca;1;174
2007;Noviembre;Cajamarca;2;11,545
2007;Diciembre;Cajamarca;0;5,198
2007;Diciembre;Cajamarca;1;135
2007;Diciembre;Cajamarca;2;5,333
2007;Enero;Cajamarca;0;31
2007;Enero;Cajamarca;1;1
2007;Enero;Cajamarca;2;32
2007;Febrero;Cajamarca;0;58
2007;Febrero;Cajamarca;1;0
2007;Febrero;Cajamarca;2;58
2007;Marzo;Cajamarca;0;14
2007;Marzo;Cajamarca;1;1
2007;Marzo;Cajamarca;2;15
2007;Abril;Cajamarca;0;47
2007;Abril;Cajamarca;1;0
2007;Abril;Cajamarca;2;47
2007;Mayo;Cajamarca;0;84
2007;Mayo;Cajamarca;1;0
2007;Mayo;Cajamarca;2;84
2007;Junio;Cajamarca;0;146
2007;Junio;Cajamarca;1;22
2007;Junio;Cajamarca;2;168
2007;Julio;Cajamarca;0;106
2007;Julio;Cajamarca;1;0
2007;Julio;Cajamarca;2;106
2007;Agosto;Cajamarca;0;123
2007;Agosto;Cajamarca;1;66
2007;Agosto;Cajamarca;2;189
2007;Setiembre;Cajamarca;0;259
2007;Setiembre;Cajamarca;1;22
2007;Setiembre;Cajamarca;2;281
2007;Octubre;Cajamarca;0;96
2007;Octubre;Cajamarca;1;20
2007;Octubre;Cajamarca;2;116
2007;Noviembre;Cajamarca;0;108
2007;Noviembre;Cajamarca;1;0
2007;Noviembre;Cajamarca;2;108
2007;Diciembre;Cajamarca;0;53
2007;Diciembre;Cajamarca;1;5
2007;Diciembre;Cajamarca;2;58
2007;Enero;Cusco;0;6,095
2007;Enero;Cusco;1;5,663
2007;Enero;Cusco;2;11,758
2007;Febrero;Cusco;0;0
2007;Febrero;Cusco;1;0
2007;Febrero;Cusco;2;0
2007;Marzo;Cusco;0;6,528
2007;Marzo;Cusco;1;5,027
2007;Marzo;Cusco;2;11,555
2007;Abril;Cusco;0;6,763
2007;Abril;Cusco;1;4,727
2007;Abril;Cusco;2;11,490
2007;Mayo;Cusco;0;7,338
2007;Mayo;Cusco;1;4,748
