profundidad,tipomagnitud,id_pdf_tematico,intensidad,referencia3,createdAt,latitud,reporte_acelerometrico_pdf,longitud,hora_utc,hora_local,mapa,idlistasismos,publicado,referencia,updatedAt,referencia2,informe,codigo,numero_reporte,magnitud,fecha_utc,fecha_local
33,,0,III-IV Chimbote,,2025-05-22T11:17:21.000Z,-9.08,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250354_20250522_111311.pdf,-79.33,1970-01-01T11:13:11.000Z,1970-01-01T06:13:11.000Z,,10325,1,"81 km al O de Chimbote, Santa - Ancash",2025-05-22T11:17:21.000Z,,,2025-0354,354,5.0,2025-05-22T00:00:00.000Z,2025-05-22T00:00:00.000Z
47,,0,II-III Casma,,2025-06-07T23:49:34.000Z,-9.77,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250384_20250607_234531.pdf,-78.73,1970-01-01T23:45:31.000Z,1970-01-01T18:45:31.000Z,,10355,1,"58 km al SO de Casma, Casma - Ancash",2025-06-07T23:49:34.000Z,,,2025-0384,384,4.0,2025-06-07T00:00:00.000Z,2025-06-07T00:00:00.000Z
36,,0,II Chimbote,,2025-06-10T12:51:12.000Z,-9.36,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250388_20250610_124525.pdf,-79.22,1970-01-01T12:45:25.000Z,1970-01-01T07:45:25.000Z,,10359,1,"76 km al SO de Chimbote, Santa - Ancash",2025-06-10T12:51:12.000Z,,,2025-0388,388,3.8,2025-06-10T00:00:00.000Z,2025-06-10T00:00:00.000Z
37,,0,II-III Samanco,,2025-06-18T11:58:25.000Z,-9.68,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250402_20250618_115251.pdf,-79.0,1970-01-01T11:52:51.000Z,1970-01-01T06:52:51.000Z,,10373,1,"73 km al SO de Samanco, Santa - Ancash",2025-06-18T11:58:25.000Z,,,2025-0402,402,3.7,2025-06-18T00:00:00.000Z,2025-06-18T00:00:00.000Z
45,,0,II Huarmey,,2025-06-20T10:09:33.000Z,-10.51,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250406_20250620_100413.pdf,-78.43,1970-01-01T10:04:13.000Z,1970-01-01T05:04:13.000Z,,10377,1,"58 km al SO de Huarmey, Huarmey - Ancash",2025-06-20T10:09:33.000Z,,,2025-0406,406,3.7,2025-06-20T00:00:00.000Z,2025-06-20T00:00:00.000Z
39,,0,II-III Huarmey,,2025-07-02T19:24:24.000Z,-10.02,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250431_20250702_192027.pdf,-79.09,1970-01-01T19:20:27.000Z,1970-01-01T14:20:27.000Z,,10402,1,"103 km al O de Huarmey, Huarmey - Ancash",2025-07-02T19:24:24.000Z,,,2025-0431,431,4.1,2025-07-02T00:00:00.000Z,2025-07-02T00:00:00.000Z
16,,0,III Huarmey,,2025-07-04T01:49:44.000Z,-10.46,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250437_20250703_151323.pdf,-78.8,1970-01-01T15:13:23.000Z,1970-01-01T10:13:23.000Z,,10408,1,"83 km al SO de Huarmey, Huarmey - Ancash",2025-07-04T01:49:44.000Z,,,2025-0437,437,3.8,2025-07-03T00:00:00.000Z,2025-07-03T00:00:00.000Z
9,,0,III Yungay,,2025-07-04T12:05:51.000Z,-9.13,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250441_20250704_115848.pdf,-77.62,1970-01-01T11:58:48.000Z,1970-01-01T06:58:48.000Z,,10412,1,"13 km al E de Yungay, Yungay - Ancash",2025-07-04T12:05:51.000Z,,,2025-0441,441,3.6,2025-07-04T00:00:00.000Z,2025-07-04T00:00:00.000Z
14,,0,III Yungay,,2025-07-07T15:33:54.000Z,-9.13,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250445_20250707_153019.pdf,-77.62,1970-01-01T15:30:19.000Z,1970-01-01T10:30:19.000Z,,10416,1,"13 km al E de Yungay, Yungay - Ancash",2025-07-07T15:33:54.000Z,,,2025-0445,445,3.5,2025-07-07T00:00:00.000Z,2025-07-07T00:00:00.000Z
34,,0,III Huarmey,,2025-07-12T02:27:53.000Z,-10.55,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250461_20250712_022250.pdf,-78.56,1970-01-01T02:22:50.000Z,1970-01-01T21:22:50.000Z,,10432,1,"70 km al SO de Huarmey, Huarmey - Ancash",2025-07-12T02:27:53.000Z,,,2025-0461,461,3.8,2025-07-12T00:00:00.000Z,2025-07-11T00:00:00.000Z
40,,0,III Chimbote,,2025-07-14T17:46:06.000Z,-9.15,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250466_20250714_174051.pdf,-79.2,1970-01-01T17:40:51.000Z,1970-01-01T12:40:51.000Z,,10437,1,"68 km al O de Chimbote, Santa - Ancash",2025-07-14T17:46:06.000Z,,,2025-0466,466,3.9,2025-07-14T00:00:00.000Z,2025-07-14T00:00:00.000Z
45,,0,II-III Chimbote,,2025-07-15T00:39:19.000Z,-9.27,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250468_20250715_003502.pdf,-79.05,1970-01-01T00:35:02.000Z,1970-01-01T19:35:02.000Z,,10439,1,"55 km al SO de Chimbote, Santa - Ancash",2025-07-15T00:39:19.000Z,,,2025-0468,468,3.8,2025-07-15T00:00:00.000Z,2025-07-14T00:00:00.000Z
33,,0,,,2025-07-21T22:04:09.000Z,-9.66,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250482_20250721_220008.pdf,-79.62,1970-01-01T22:00:08.000Z,1970-01-01T17:00:08.000Z,,10453,1,"131 km al SO de Chimbote, Santa - Ancash",2025-07-21T22:04:09.000Z,,,2025-0482,482,4.0,2025-07-21T00:00:00.000Z,2025-07-21T00:00:00.000Z
19,,0,II-III Casma,,2025-07-24T08:53:52.000Z,-9.39,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250488_20250724_084942.pdf,-78.32,1970-01-01T08:49:42.000Z,1970-01-01T03:49:42.000Z,,10459,1,"9 km al N de Casma, Casma - Ancash",2025-07-24T08:53:52.000Z,,,2025-0488,488,3.8,2025-07-24T00:00:00.000Z,2025-07-24T00:00:00.000Z
43,,0,III-IV Chimbote,,2025-08-13T00:59:51.000Z,-9.11,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250530_20250813_005430.pdf,-79.33,1970-01-01T00:54:30.000Z,1970-01-01T19:54:30.000Z,,10501,1,"81 km al O de Chimbote, Santa - Ancash",2025-08-13T00:59:51.000Z,,,2025-0530,530,5.5,2025-08-13T00:00:00.000Z,2025-08-12T00:00:00.000Z
51,,0,III Huarmey,,2025-08-13T17:27:48.000Z,-9.98,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250533_20250813_172241.pdf,-77.86,1970-01-01T17:22:41.000Z,1970-01-01T12:22:41.000Z,,10504,1,"33 km al E de Huarmey, Huarmey - Ancash",2025-08-13T17:27:48.000Z,,,2025-0533,533,4.1,2025-08-13T00:00:00.000Z,2025-08-13T00:00:00.000Z
39,,0,,,2025-08-14T01:47:47.000Z,-10.1,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250535_20250814_014310.pdf,-79.71,1970-01-01T01:43:10.000Z,1970-01-01T20:43:10.000Z,,10506,1,"163 km al SO de Samanco, Santa - Ancash",2025-08-14T01:47:47.000Z,,,2025-0535,535,4.0,2025-08-14T00:00:00.000Z,2025-08-13T00:00:00.000Z
41,,0,II-III Samanco,,2025-08-18T06:38:28.000Z,-9.23,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250544_20250818_063302.pdf,-78.61,1970-01-01T06:33:02.000Z,1970-01-01T01:33:02.000Z,,10515,1,"12 km al O de Samanco, Santa - Ancash",2025-08-18T06:38:28.000Z,,,2025-0544,544,3.6,2025-08-18T00:00:00.000Z,2025-08-18T00:00:00.000Z
41,,0,,,2025-08-19T09:19:28.000Z,-9.33,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250547_20250819_091546.pdf,-79.25,1970-01-01T09:15:46.000Z,1970-01-01T04:15:46.000Z,,10518,1,"78 km al O de Chimbote, Santa - Ancash",2025-08-19T09:19:28.000Z,,,2025-0547,547,4.0,2025-08-19T00:00:00.000Z,2025-08-19T00:00:00.000Z
43,,0,,,2025-09-01T11:35:23.000Z,-9.99,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250580_20250901_112922.pdf,-79.82,1970-01-01T11:29:22.000Z,1970-01-01T06:29:22.000Z,,10551,1,"166 km al SO de Samanco, Santa - Ancash",2025-09-01T11:35:23.000Z,,,2025-0580,580,4.0,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z
