profundidad,tipomagnitud,id_pdf_tematico,intensidad,referencia3,createdAt,latitud,reporte_acelerometrico_pdf,longitud,hora_utc,hora_local,mapa,idlistasismos,publicado,referencia,updatedAt,referencia2,informe,codigo,numero_reporte,magnitud,fecha_utc,fecha_local
30,,0,III-IV  Huarmey,,2023-07-19T03:29:13.000Z,-10.6,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230395_20230719_032433.pdf,-78.63,,1970-01-01T22:24:33.000Z,,8802,1,"79 km al SO de Huarmey, Huarmey - Ancash",2023-07-19T03:29:13.000Z,,,2023-0395,395,4.6,,2023-07-18T00:00:00.000Z
102,,0,,,2023-07-23T21:20:12.000Z,-10.38,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230410_20230723_211722.pdf,-77.51,,1970-01-01T16:17:22.000Z,,8817,1,"28 km al S de Cajacay, Bolognesi - Ancash",2023-07-23T21:20:12.000Z,,,2023-0410,410,4.0,,2023-07-23T00:00:00.000Z
33,,0,IV  Chimbote,,2023-08-18T11:01:18.000Z,-9.37,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230475_20230818_105635.pdf,-79.29,,1970-01-01T05:56:35.000Z,,8882,1,"84 km al SO de Chimbote, Santa - Ancash",2023-08-18T11:01:18.000Z,,,2023-0475,475,4.8,,2023-08-18T00:00:00.000Z
30,,0,III  Chimbote,,2023-08-19T23:13:00.000Z,-9.0,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230480_20230819_230947.pdf,-79.43,,1970-01-01T18:09:47.000Z,,8887,1,"93 km al O de Chimbote, Santa - Ancash",2023-08-19T23:13:00.000Z,,,2023-0480,480,4.0,,2023-08-19T00:00:00.000Z
38,,0,,,2023-08-22T10:21:10.000Z,-9.48,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230490_20230822_101811.pdf,-79.12,,1970-01-01T05:18:11.000Z,,8899,1,"73 km al O de Samanco, Santa - Ancash",2023-08-22T10:21:10.000Z,,,2023-0490,490,4.0,,2023-08-22T00:00:00.000Z
29,,0,,,2023-08-23T05:07:38.000Z,-9.47,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230493_20230823_050102.pdf,-80.1,,1970-01-01T00:01:02.000Z,,8902,1,"172 km al O de Chimbote, Santa - Ancash",2023-08-23T05:07:38.000Z,,,2023-0493,493,4.1,,2023-08-23T00:00:00.000Z
25,,0,,,2023-09-05T03:33:42.000Z,-9.21,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230521_20230905_033015.pdf,-79.47,,1970-01-01T22:30:15.000Z,,8930,1,"98 km al O de Chimbote, Santa - Ancash",2023-09-05T03:33:42.000Z,,,2023-0521,521,4.0,,2023-09-04T00:00:00.000Z
22,,0,III Sihuas,,2023-09-17T16:24:04.000Z,-8.42,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230540_20230917_162034.pdf,-77.71,,1970-01-01T11:20:34.000Z,,8949,1,"17 km al NO de Sihuas, Sihuas - Ancash",2023-09-17T16:24:04.000Z,,,2023-0540,540,3.7,,2023-09-17T00:00:00.000Z
31,,0,,,2023-09-27T08:37:09.000Z,-10.0,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230564_20230927_083155.pdf,-78.95,,1970-01-01T03:31:55.000Z,,8973,1,"88 km al O de Huarmey, Huarmey - Ancash",2023-09-27T08:37:09.000Z,,,2023-0564,564,4.0,,2023-09-27T00:00:00.000Z
21,,0,,,2023-10-09T20:50:21.000Z,-10.0,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230582_20231009_204511.pdf,-80.02,,1970-01-01T15:45:11.000Z,,8991,1,"186 km al SO de Samanco, Santa - Ancash",2023-10-09T20:50:21.000Z,,,2023-0582,582,4.1,,2023-10-09T00:00:00.000Z
34,,0,,,2023-10-14T06:01:00.000Z,-9.59,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230593_20231014_055614.pdf,-79.57,,1970-01-01T00:56:14.000Z,,9002,1,"122 km al SO de Chimbote, Santa - Ancash",2023-10-14T06:01:00.000Z,,,2023-0593,593,4.6,,2023-10-14T00:00:00.000Z
17,,0,III Sihuas,,2023-10-23T20:22:54.000Z,-8.51,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230613_20231023_201723.pdf,-77.5,,1970-01-01T15:17:23.000Z,,9022,1,"15 km al E de Sihuas, Sihuas - Ancash",2023-10-23T20:22:54.000Z,,,2023-0613,613,3.6,,2023-10-23T00:00:00.000Z
36,,0,III Casma,,2023-10-30T03:42:25.000Z,-9.77,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230629_20231030_033659.pdf,-78.79,,1970-01-01T22:36:59.000Z,,9038,1,"63 km al SO de Casma, Casma - Ancash",2023-10-30T03:42:25.000Z,,,2023-0629,629,3.9,,2023-10-29T00:00:00.000Z
38,,0,III-IV Huarmey,,2023-11-01T06:49:52.000Z,-10.75,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230633_20231101_064705.pdf,-78.68,,1970-01-01T01:47:05.000Z,,9042,1,"95 km al SO de Huarmey, Huarmey - Ancash",2023-11-01T06:49:52.000Z,,,2023-0633,633,4.6,,2023-11-01T00:00:00.000Z
13,,0,III Sihuas,,2023-11-30T20:31:48.000Z,-8.61,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230683_20231130_202820.pdf,-77.63,,1970-01-01T15:28:20.000Z,,9092,1,"7 km al S de Sihuas, Sihuas - Ancash",2023-11-30T20:31:48.000Z,,,2023-0683,683,3.7,,2023-11-30T00:00:00.000Z
33,,0,,,2023-12-27T14:20:56.000Z,-9.65,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230756_20231227_141637.pdf,-79.05,,1970-01-01T09:16:37.000Z,,9165,1,"75 km al SO de Samanco, Santa - Ancash",2023-12-27T14:20:56.000Z,,,2023-0756,756,4.0,,2023-12-27T00:00:00.000Z
