profundidad,tipomagnitud,id_pdf_tematico,intensidad,referencia3,createdAt,latitud,reporte_acelerometrico_pdf,longitud,hora_utc,hora_local,mapa,idlistasismos,publicado,referencia,updatedAt,referencia2,informe,codigo,numero_reporte,magnitud,fecha_utc,fecha_local
35,,0,III Huarmey,,2024-01-01T07:08:59.000Z,-10.69,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240001_20240101_070607.pdf,-78.54,,1970-01-01T02:06:07.000Z,,9174,1,"81 km al SO de Huarmey, Huarmey - Ancash",2024-01-01T07:08:59.000Z,,,2024-0001,1,4.2,,2024-01-01T00:00:00.000Z
15,,0,III Arequipa,,2024-01-02T23:04:05.000Z,-16.53,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240002_20240101_200353.pdf,-71.63,,1970-01-01T15:03:53.000Z,,9175,1,"18 km al SO de Arequipa, Arequipa - Arequipa",2024-01-02T23:04:05.000Z,,,2024-0002,2,3.7,,2024-01-01T00:00:00.000Z
53,,0,III Ancon,,2024-01-04T12:03:03.000Z,-11.92,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240003_20240104_115715.pdf,-77.74,,1970-01-01T06:57:15.000Z,,9176,1,"65 km al O de Ancon, Lima - Lima",2024-01-04T12:03:03.000Z,,,2024-0003,3,3.5,,2024-01-04T00:00:00.000Z
42,,0,III Provincia Constitucional del Callao,,2024-01-04T13:48:25.000Z,-12.13,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240004_20240104_134530.pdf,-77.45,,1970-01-01T08:45:30.000Z,,9177,1,"35 km al O de Provincia Constitucional del Callao , Callao - Lima",2024-01-04T13:48:25.000Z,,,2024-0004,4,3.5,,2024-01-04T00:00:00.000Z
32,,0,IV Sechura,,2024-01-04T13:50:56.000Z,-5.83,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240005_20240104_134624.pdf,-81.03,,1970-01-01T08:46:24.000Z,,9178,1,"39 km al SO de Sechura, Sechura - Piura",2024-01-04T13:50:56.000Z,,,2024-0005,5,4.8,,2024-01-04T00:00:00.000Z
58,,0,III Provincia Constitucional del Callao,,2024-01-04T19:22:23.000Z,-12.14,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240006_20240104_174239.pdf,-77.3,,1970-01-01T12:42:39.000Z,,9179,1,"20 km al SO de Provincia Constitucional del Callao , Callao - Lima",2024-01-04T19:22:23.000Z,,,2024-0006,6,4,,2024-01-04T00:00:00.000Z
92,,0,III Yauca,,2024-01-05T01:00:16.000Z,-15.57,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240007_20240105_005541.pdf,-74.35,,1970-01-01T19:55:41.000Z,,9180,1,"21 km al NE de Yauca, Caraveli - Arequipa",2024-01-05T01:00:16.000Z,,,2024-0007,7,4.5,,2024-01-04T00:00:00.000Z
158,,0,,,2024-01-05T07:32:56.000Z,-8.62,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240008_20240105_072955.pdf,-74.53,,1970-01-01T02:29:55.000Z,,9181,1,"28 km al S de Pucallpa, Coronel Portillo - Ucayali",2024-01-05T07:32:56.000Z,,,2024-0008,8,4.4,,2024-01-05T00:00:00.000Z
56,,0,II-III Ancon,,2024-01-05T17:36:19.000Z,-11.79,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240009_20240105_173027.pdf,-77.57,,1970-01-01T12:30:27.000Z,,9182,1,"44 km al O de Ancon, Lima - Lima",2024-01-05T17:36:19.000Z,,,2024-0009,9,3.7,,2024-01-05T00:00:00.000Z
215,,0,,,2024-01-06T10:36:43.000Z,-14.65,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240010_20240106_103112.pdf,-70.75,,1970-01-01T05:31:12.000Z,,9183,1,"22 km al N de Umachiri, Melgar - Puno",2024-01-06T10:36:43.000Z,,,2024-0010,10,4.4,,2024-01-06T00:00:00.000Z
150,,0,III-IV Calana,,2024-01-07T08:38:22.000Z,-18.35,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240011_20240107_083533.pdf,-69.44,,1970-01-01T03:35:33.000Z,,9184,1,"87 km al SE de Calana, Tacna - Tacna",2024-01-07T08:38:22.000Z,,,2024-0011,11,5.2,,2024-01-07T00:00:00.000Z
20,,0,II-III Zorritos,,2024-01-07T15:14:44.000Z,-3.69,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240012_20240107_150825.pdf,-80.88,,1970-01-01T10:08:25.000Z,,9185,1,"25 km al O de Zorritos, Contralmirante Villar - Tumbes",2024-01-07T15:14:44.000Z,,,2024-0012,12,4.4,,2024-01-07T00:00:00.000Z
86,,0,,,2024-01-08T04:24:23.000Z,-5.13,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240013_20240108_041929.pdf,-79.98,,1970-01-01T23:19:29.000Z,,9186,1,"20 km al E de Chulucanas, Morropon - Piura",2024-01-08T04:24:23.000Z,,,2024-0013,13,4,,2024-01-07T00:00:00.000Z
20,,0,II-III Puerto Bermudez,,2024-01-08T08:52:46.000Z,-9.87,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240014_20240108_084539.pdf,-74.87,,1970-01-01T03:45:39.000Z,,9187,1,"48 km al N de Puerto Bermudez, Oxapampa - Pasco",2024-01-08T08:52:46.000Z,,,2024-0014,14,3.8,,2024-01-08T00:00:00.000Z
17,,0,III Colta,,2024-01-08T12:46:03.000Z,-15.15,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240015_20240108_124027.pdf,-73.32,,1970-01-01T07:40:27.000Z,,9188,1,"3 km al O de Colta, Paucar Del Sara Sara - Ayacucho",2024-01-08T12:46:03.000Z,,,2024-0015,15,3.4,,2024-01-08T00:00:00.000Z
10,,0,III Pozuzo,,2024-01-08T23:48:53.000Z,-10.19,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240016_20240108_234345.pdf,-75.67,,1970-01-01T18:43:45.000Z,,9189,1,"16 km al SO de Pozuzo, Oxapampa - Pasco",2024-01-08T23:48:53.000Z,,,2024-0016,16,4.1,,2024-01-08T00:00:00.000Z
32,,0,III San Pedro De Lloc,,2024-01-09T01:09:36.000Z,-8.02,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240017_20240109_010504.pdf,-79.88,,1970-01-01T20:05:04.000Z,,9190,1,"78 km al SO de San Pedro De Lloc, Pacasmayo - La Libertad",2024-01-09T01:09:36.000Z,,,2024-0017,17,5.2,,2024-01-08T00:00:00.000Z
50,,0,,,2024-01-09T09:19:38.000Z,-5.54,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240018_20240109_091520.pdf,-80.74,,1970-01-01T04:15:20.000Z,,9191,1,"9 km al E de Sechura, Sechura - Piura",2024-01-09T09:19:38.000Z,,,2024-0018,18,4,,2024-01-09T00:00:00.000Z
93,,0,,,2024-01-09T14:19:30.000Z,-13.81,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240019_20240109_141609.pdf,-74.23,,1970-01-01T09:16:09.000Z,,9192,1,"16 km al NE de Huanca Sancos, Sancos - Ayacucho",2024-01-09T14:19:30.000Z,,,2024-0019,19,4.1,,2024-01-09T00:00:00.000Z
45,,0,II Ancon,,2024-01-09T18:27:54.000Z,-11.79,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240020_20240109_182356.pdf,-77.67,,1970-01-01T13:23:56.000Z,,9193,1,"55 km al O de Ancon, Lima - Lima",2024-01-09T18:27:54.000Z,,,2024-0020,20,3.5,,2024-01-09T00:00:00.000Z
98,,0,,,2024-01-10T00:41:37.000Z,-14.37,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240021_20240110_003815.pdf,-73.97,,1970-01-01T19:38:15.000Z,,9194,1,"32 km al SO de Soras, Sucre - Ayacucho",2024-01-10T00:41:37.000Z,,,2024-0021,21,4.1,,2024-01-09T00:00:00.000Z
30,,0,III La Merced,,2024-01-10T09:21:16.000Z,-10.96,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240022_20240110_091611.pdf,-74.94,,1970-01-01T04:16:11.000Z,,9195,1,"41 km al E de La Merced, Chanchamayo - Junin",2024-01-10T09:21:16.000Z,,,2024-0022,22,4.2,,2024-01-10T00:00:00.000Z
140,,0,,,2024-01-10T22:38:40.000Z,-15.8,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240023_20240110_223304.pdf,-72.06,,1970-01-01T17:33:04.000Z,,9196,1,"9 km al SE de Huambo, Caylloma - Arequipa",2024-01-10T22:38:40.000Z,,,2024-0023,23,4,,2024-01-10T00:00:00.000Z
130,,0,III Moyobamba,,2024-01-10T23:59:43.000Z,-5.88,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240024_20240110_235443.pdf,-76.7,,1970-01-01T18:54:43.000Z,,9197,1,"35 km al NE de Moyobamba, Moyobamba - San Martin",2024-01-10T23:59:43.000Z,,,2024-0024,24,5.2,,2024-01-10T00:00:00.000Z
17,,0,II-III Arequipa,,2024-01-11T20:44:45.000Z,-16.61,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240025_20240111_203852.pdf,-71.64,,1970-01-01T15:38:52.000Z,,9198,1,"27 km al SO de Arequipa, Arequipa - Arequipa",2024-01-11T20:44:45.000Z,,,2024-0025,25,3.5,,2024-01-11T00:00:00.000Z
114,,0,,,2024-01-12T07:00:15.000Z,-15,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240026_20240112_065515.pdf,-72.35,,1970-01-01T01:55:15.000Z,,9199,1,"54 km al N de Andagua, Castilla - Arequipa",2024-01-12T07:00:15.000Z,,,2024-0026,26,4,,2024-01-12T00:00:00.000Z
10,,0,III Maca,,2024-01-12T10:06:41.000Z,-15.8,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240027_20240112_100239.pdf,-71.77,,1970-01-01T05:02:39.000Z,,9200,1,"18 km al S de Maca, Caylloma - Arequipa",2024-01-12T10:06:41.000Z,,,2024-0027,27,3.6,,2024-01-12T00:00:00.000Z
60,,0,IV-V Camana,,2024-01-12T13:06:18.000Z,-17.05,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240028_20240112_130048.pdf,-72.8,,1970-01-01T08:00:48.000Z,,9201,1,"49 km al S de Camana, Camana - Arequipa",2024-01-12T13:06:18.000Z,,,2024-0028,28,5.7,,2024-01-12T00:00:00.000Z
133,,0,,,2024-01-13T05:29:36.000Z,-10.04,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240029_20240113_052545.pdf,-75.12,,1970-01-01T00:25:45.000Z,,9202,1,"32 km al NO de Puerto Bermudez, Oxapampa - Pasco",2024-01-13T05:29:36.000Z,,,2024-0029,29,4.3,,2024-01-13T00:00:00.000Z
9,,0,III Maca,,2024-01-14T02:02:51.000Z,-15.78,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240030_20240114_015711.pdf,-71.75,,1970-01-01T20:57:11.000Z,,9203,1,"16 km al S de Maca, Caylloma - Arequipa",2024-01-14T02:02:51.000Z,,,2024-0030,30,3.7,,2024-01-13T00:00:00.000Z
