profundidad,tipomagnitud,id_pdf_tematico,intensidad,referencia3,createdAt,latitud,reporte_acelerometrico_pdf,longitud,hora_utc,hora_local,mapa,idlistasismos,publicado,referencia,updatedAt,referencia2,informe,codigo,numero_reporte,magnitud,fecha_utc,fecha_local
32,,0,III San Juan,,2026-01-01T10:24:16.000Z,-15.26,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20260001_20260101_102025.pdf,-76,1970-01-01T10:20:25.000Z,1970-01-01T05:20:25.000Z,,10812,1,"70 km al O de San Juan, Nasca - Ica",2026-01-01T10:24:16.000Z,,,2026-0001,1,4.4,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
68,,0,III Chilca,,2026-01-01T16:31:14.000Z,-12.57,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20260002_20260101_162820.pdf,-76.98,1970-01-01T16:28:20.000Z,1970-01-01T11:28:20.000Z,,10813,1,"27 km al O de Chilca, Cañete - Lima",2026-01-01T16:31:14.000Z,,,2026-0002,2,4.2,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
29,,0,II-III San Juan,,2026-01-01T23:34:41.000Z,-15.29,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20260003_20260101_233052.pdf,-76.04,1970-01-01T23:30:52.000Z,1970-01-01T18:30:52.000Z,,10814,1,"75 km al O de San Juan, Nasca - Ica",2026-01-01T23:34:41.000Z,,,2026-0003,3,4.5,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
16,,0,II-III Pozuzo,,2026-01-02T04:14:34.000Z,-10.11,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20260004_20260102_040839.pdf,-75.24,1970-01-01T04:08:39.000Z,1970-01-01T23:08:39.000Z,,10815,1,"35 km al E de Pozuzo, Oxapampa - Pasco",2026-01-02T04:14:34.000Z,,,2026-0004,4,3.6,2026-01-02T00:00:00.000Z,2026-01-01T00:00:00.000Z
43,,0,II-III Chimbote,,2026-01-02T13:19:24.000Z,-9.02,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20260005_20260102_131600.pdf,-79.14,1970-01-01T13:16:00.000Z,1970-01-01T08:16:00.000Z,,10816,1,"61 km al O de Chimbote, Santa - Áncash",2026-01-02T13:19:24.000Z,,,2026-0005,5,3.7,2026-01-02T00:00:00.000Z,2026-01-02T00:00:00.000Z
15,,0,,,2026-01-02T19:38:34.000Z,-7.23,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20260006_20260102_193229.pdf,-81,1970-01-01T19:32:29.000Z,1970-01-01T14:32:29.000Z,,10817,1,"125 km al O de Pimentel, Chiclayo - Lambayeque",2026-01-02T19:38:34.000Z,,,2026-0006,6,4.1,2026-01-02T00:00:00.000Z,2026-01-02T00:00:00.000Z
43,,0,II-III Chimbote,,2026-01-03T00:13:32.000Z,-8.96,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20260007_20260103_000959.pdf,-79.2,1970-01-01T00:09:59.000Z,1970-01-01T19:09:59.000Z,,10818,1,"69 km al O de Chimbote, Santa - Áncash",2026-01-03T00:13:32.000Z,,,2026-0007,7,3.8,2026-01-03T00:00:00.000Z,2026-01-02T00:00:00.000Z
37,,0,III Chimbote,,2026-01-03T13:21:56.000Z,-9.08,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20260008_20260103_131730.pdf,-79.33,1970-01-01T13:17:30.000Z,1970-01-01T08:17:30.000Z,,10819,1,"82 km al O de Chimbote, Santa - Áncash",2026-01-03T13:21:56.000Z,,,2026-0008,8,4.5,2026-01-03T00:00:00.000Z,2026-01-03T00:00:00.000Z
20,,0,III Ica,,2026-01-03T20:22:24.000Z,-14.61,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20260009_20260103_201751.pdf,-76.34,1970-01-01T20:17:51.000Z,1970-01-01T15:17:51.000Z,,10820,1,"89 km al SO de Ica, Ica - Ica",2026-01-03T20:22:24.000Z,,,2026-0009,9,4.5,2026-01-03T00:00:00.000Z,2026-01-03T00:00:00.000Z
50,,0,II-III Yauca,,2026-01-04T14:32:25.000Z,-15.76,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20260010_20260104_142559.pdf,-74.55,1970-01-01T14:25:59.000Z,1970-01-01T09:25:59.000Z,,10821,1,"11 km al S de Yauca, Caravelí - Arequipa",2026-01-04T14:32:25.000Z,,,2026-0010,10,3.6,2026-01-04T00:00:00.000Z,2026-01-04T00:00:00.000Z
17,,0,II-III Yurimaguas,,2026-01-04T22:26:15.000Z,-5.77,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20260011_20260104_221728.pdf,-75.6,1970-01-01T22:17:28.000Z,1970-01-01T17:17:28.000Z,,10822,1,"58 km al E de Yurimaguas, Alto Amazonas - Loreto",2026-01-04T22:26:15.000Z,,,2026-0011,11,3.7,2026-01-04T00:00:00.000Z,2026-01-04T00:00:00.000Z
9,,0,III Huayhuahuasi,,2026-01-05T10:22:15.000Z,-14.51,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20260012_20260105_101727.pdf,-71.78,1970-01-01T10:17:27.000Z,1970-01-01T05:17:27.000Z,,10823,1,"32 km al NO de Huayhuahuasi, Espinar - Cusco",2026-01-05T10:22:15.000Z,,,2026-0012,12,3.6,2026-01-05T00:00:00.000Z,2026-01-05T00:00:00.000Z
51,,0,III Chilca,,2026-01-05T13:36:50.000Z,-12.58,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20260013_20260105_133444.pdf,-76.84,1970-01-01T13:34:44.000Z,1970-01-01T08:34:44.000Z,,10824,1,"13 km al SO de Chilca, Cañete - Lima",2026-01-05T13:36:50.000Z,,,2026-0013,13,3.7,2026-01-05T00:00:00.000Z,2026-01-05T00:00:00.000Z
31,,0,II-III San Juan,,2026-01-05T17:12:16.000Z,-15.32,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20260014_20260105_170719.pdf,-76.06,1970-01-01T17:07:19.000Z,1970-01-01T12:07:19.000Z,,10825,1,"78 km al O de San Juan, Nasca - Ica",2026-01-05T17:12:16.000Z,,,2026-0014,14,4.6,2026-01-05T00:00:00.000Z,2026-01-05T00:00:00.000Z
