fecha,hora,latitud,longitud,profundidad,magnitud,intensidad,referencia,reporte_acelerometrico_pdf
,,-6.31,-80.12,63,5.3,III Motupe; II Chiclayo,43 Km al SO de Olmos,
,,-11.9,-77.14,56,3.8,II Lima,16 Km al Sur de Ancon,
,,-9.14,-75.82,15,4.1,II Tingo Maria,26 Km al NE de Tingo Maria,
,,-16.66,-71.89,44,3.9,"II Mollendo, Arequipa, Quilca",43 Km al N de Mollendo,
,,-12.13,-76.72,89,3.6,II La Molina,22 Km al S de Chosica,
,,-15.92,-75.48,23,4.9,"II Lomas, Yauca",80 Km al SO de Lomas,
,,-14.63,-75.96,43,4.7,"III Ica,  Tinguiña;  II Palpa,  Tibillo  ",68 Km al SO de Ica,
,,-5.99,-80.26,51,4.4,II Olmos  ,40 Km al O de Olmos,
,,-10.69,-77.98,56,4.2,II Barranca,25 km al Oeste de Barranca,
,,-12.11,-75.26,120,4.4,III Huancayo,8 km al SO de Huancayo,
,,-16.55,-71.99,34,4.5,III Arequipa,48 km al SO de Yura,
,,-11.84,-77.29,46,4,"II Lima, Callao",17 km al SO de Ancon,
,,-16.48,-71.9,41,4,"II Arequipa, Vitor",3 km al SSE de Vitor,
,,-3.43,-80.39,56,4.8,"II-III Zarumilla, Tumbes",16 km al ONO de Zarumilla,
,,-12.77,-76.48,59,5.8,"V  Cañete, Mala; IV-V Lima",36 km al NNO de San Vicente de Cañete,
,,-12.53,-76.88,57,4,II Lima,16 km al Oeste de Chilca,
,,-16.99,-72.2,20,3.5,II Mollendo  ,22 Km al O de Mollendo,
,,-8.12,-79.86,44,4.3,II Trujillo  ,86 Km al SO de San Pedro de Lloc,
,,-8.6,-79.07,51,4.1,"II Salaverry, Trujillo",45 Km al Sur-SO de Salaverry,
,,-9.92,-75.62,42,4.4,II-III Pozuzo;  II Huanuco  ,24 Km al N de Pozuzo,
,,-8.92,-76.39,50,4.3,II Aucayacu,33 Km al O de Aucayacu,
,,-7.24,-76.9,122,5.2,"III-IV Juanjui, III Bellavista ",22 Km al OSO de Juanjui,
,,-13.39,-72.31,12,3.6,II Ollantaytambo   ,15 Km al Sur-SO de Ollantaytambo,
,,-15.63,-71.96,129,4.3,II Cabanaconde  ,2 Km al SE de Cabanaconde,
,,-13.22,-75.05,84,4.5,II Castrovirreyna  ,15 Km al Este-NE de Castrovirreyna,
,,-9.6,-78.98,44,4.2,   II Chimbote,73 KM al SO de Chimbote,
,,-5.84,-80.96,38,4,II Sechura  ,36 Km al SO de Sechura,
,,-15.39,-72.91,44,4.2,II Cotahuasi,21 Km al Sur de Cotahuasi,
,,-16.81,-72.34,75,4.3,II Quilca   ,14 Km al SE de Quilca,
,,-15.87,-71.73,16,4,II Maca  ,26 Km al S de Maca,
,,-13.68,-72.62,76,4.3,"II Andahuaylas, Abancay  ",29 Km al E de Abancay,
,,-13.41,-72.35,34,4.1,II Cusco,42 Km al Oeste de Cusco,
,,-3.67,-81.3,25,4,II Mancora,57 Km al N-NO de Mancora,
,,-11.5,-73,145,4.3,II Atalaya,120 Km al SE de Atalaya,
