fecha,hora,latitud,longitud,profundidad,magnitud,intensidad,referencia,reporte_acelerometrico_pdf
,,-5.84,-75.97,35,4.2,II Yurimaguas,17 Km al Este de Yurimaguas,
,,-17.47,-72.41,42,4.5,II Mollendo  ,66 Km al SO de Mollendo,
,,-18.39,-69.92,112,4.9,II-III Tacna  ,54 Km al SE de Calana,
,,-11.67,-77.89,40,4.2,"II Huaral, Huacho, Lima",79 km O de Huaral,
,,-12.37,-77.07,48,3.9,   II Lima,35 Km al S de Callao,
,,-5.74,-80.66,40,5,   III Sechura II Piura,28 Km al SE de Sechura,
,,-15.85,-71.91,50,4.2,II Huambo,26 Km al SE de Huambo,
,,-5.58,-76.68,138,4.2,II Moyobamba,60 Km al NE de Moyobamba,
,,-13.39,-76.17,60,4.3,"II-III Tambo de Mora;  II Chincha Alta,  Pisco  ",6 Km al NO de Chincha Alta,
,,-5.15,-81.14,30,3.9,II Paita,8 Km al S de Paita,
,,-17.98,-70.59,84,4.3,II Tacna  ,38 Km al O de Alto de la alianza,
,,-13.56,-76.19,52,4,II Pisco  ,11 Km al S de Tambo de Mora,
,,-16.15,-73.68,45,4.3,"III Atico, II Caravelí",9 Km al NO de Atico,
,,-14.44,-72.57,22,4.1,II Antabamba  ,36 Km al E de Antabamba,
,,-16.72,-71.55,37,3.7,II-III Arequipa,37 Km al S de Aequipa,
,,-16.66,-71.53,42,3.7,II Arequipa,30 Km al S de Arequipa,
,,-15.17,-74.71,68,4.4,II Acari ,30 Km al N de Acari,
,,-13.85,-72.86,28,3.9,II Abancay  ,23 Km al S de Abancay,
,,-9.15,-77.51,23,4.2,II Carhuaz,18 Km al NE de Carhuaz,
,,-13.56,-76.07,31,4,II-III Pisco; II Chincha,22 km al NE de Pisco,
,,-14.49,-75.92,60,4.3,II Ica,52 km al SO de Ica,
,,-15.83,-71.81,5,4.9,IV Maca,23 km SSO de Maca,
,,-15.86,-71.81,8,5.2,"V Maca; II-III Chivay, Yura; II Arequipa",26 Km al S de Maca,
,,-15.89,-71.8,7,5.2,V Maca; II Arequipa  ,29 Km al S de Maca,
,,-15.83,-71.79,9,4.6,"III Maca; II Madrigal, Huambo",22 km al S de Maca,
,,-12.71,-76.93,42,4.1,II Lima  ,31 Km al SO de Chilca,
,,-16.1,-72.57,28,4,III Aplao,9 Km al O de Aplao,
,,-13.71,-76.27,43,3.9,II Pisco,8 Km al O de Pisco,
,,-10.38,-78.69,56,4.5,II Huarmey  ,69 Km al SO de Huarmey,
,,-12.88,-77.17,45,4.2,II Lima,63 Km al SO de Chilca,
,,-15.8,-71.85,6,4.5,III Maca,20 km. al Sur de Maca,
,,-16.59,-72.51,88,4.3,II-III Camana; II Arequipa,22 km al E de Camaná,
,,-8.91,-80.85,57,4.5,II Trujillo,220 km al SO de Trujillo,
,,-13.27,-76.65,42,4,II San Vicente de Cañete  ,37 Km al SO de San Vicente de Cañete,
,,-13.16,-76.39,75,4.6,III-IV Lunahuana III Cañete II-III Lima  ,9 Km al S de San Vicente de Cañete,
,,-9.84,-75.32,146,4.5,II Pozuzo,39 Km al NE de Pozuzo,
,,-12.63,-76.85,35,3.8,"II Lima, Chilca",18 Km al SO de Chilca,
,,-10.42,-74.47,110,4.6,II Oxapampa,57 Km al ESE de Puerto Bermudez,
,,-16.04,-73.48,68,4,II Caraveli  ,24 Km al NE de Atico,
,,-16,-74.02,55,4.2,II Chala  Atico  ,30 Km al SE de Chala,
,,-15.82,-71.86,10,4.6,"   III Maca, II Madrigal",22 Km al SO de Maca,
,,-11.02,-74.21,123,4.9,II Satipo  ,29 Km al NE de San Martin de Pangoa,
,,-9.57,-79.42,17,5.3,"IV-III Chimbote, II Trujillo",107 Km al SO de Chimbote,
,,-16.76,-72.95,35,4.3,II Camana,30 Km al SO de Camana,
,,-16.69,-71.58,45,4.2,II Arequipa,34 Km al S de Arequipa,
,,-12.27,-76.58,82,3.8,II Lima,28 km al N de Calango,
,,-11.89,-77.34,66,4.1,II Ancon,24 km al SO de Ancon,
,,-14.38,-76.07,33,4.1,II en Ica,52 km al SO de Ica,
,,-8.91,-79.06,65,4.5,III en Chimbote,55 km al O de Chimbote,
,,-10,-75.6,44,4.3,II en Pozuzo,15 al NO de Pozuzo,
,,-7.99,-79.82,63,4.8,III en Trujillo,72 km al SO de San Pedro de LLoc,
,,-13.67,-76.5,46,4.7,III en Chincha Alta,42 km al SO de Chincha Alta,
,,-17.28,-72.07,52,4.5,III en Mollendo,33 km al OSO de Punta de Bombon,
,,-15.45,-74.79,54,4,II en Acari,14 km al OSO de Lomas (AQP),
,,-5.92,-80.53,58,4.4,II en Olmos ,52 Km al SE de Sechura,
,,-10.84,-75.51,120,5,"III Oxapampa, La Merced; II Lima  ",31 Km al SO de Oxapampa,
,,-11.74,-77.2,58,3.8,II Lima,4 Km al NO de Ancon,
,,-10.03,-75.54,40,4.3,II Pozuzo,10 Km al N de Pozuzo,
,,-12.32,-76.03,110,4,II Yauyos,20 Km al NO de Yauyos,
,,-9.22,-76,15,4,II-III Tingo Maria  ,8 Km al N de Tingo Maria,
,,-13.64,-75.68,74,4.3,II Huancano,9 Km al SO de Huancano,
,,-14.72,-71.52,10,3.8,II Espinar  ,14 Km al NO de Espinar,
,,-12.42,-74.94,28,3.9,II Pampas ,8 Km al O de Pampas,
,,-12.65,-76.95,40,3.9,II Lima  ,28 Km al SO de Chilca,
,,-16.68,-71.84,43,4.4,"II-III Arequipa, Mollendo",27 Km al SE de Vitor,
,,-12.69,-76.16,98,4, II Lima  ,30 Km al N de Lunahuana,
,,-9.52,-79.23,40,5.2,III Chimbote  ,86 Km al O de Samanco,
,,-5.69,-76.56,34,4,II Moyobamba,60 Km al NE de Moyobamba,
,,-3.99,-81.22,25,4,II Mancora  ,24 Km al NO de Mancora,
,,-16.88,-72.15,16,3.8,II-III Mollendo  ,23 Km al NO de Mollendo,
,,-15.69,-73.32,104,5.6,III Caraveli,9 km N-NE de Caraveli,
,,-15.84,-71.72,8,4,II Maca,23 Km al Sur de Maca,
,,-10.57,-75.09,32,4.5,"III Oxapampa, Villa Rica; II Pozuzo  ",34 Km al SO de Puerto Bermudez,
,,-17.34,-70.92,106,4.4,II III Moquegua  ,17 Km al S de Moquegua,
,,-16.13,-74.35,47,4.2,II Chala  ,33 Km al S de Chala,
,,-5.66,-78.66,21,4.1,II Jaen  Bagua  ,15 Km al O de Bagua,
,,-13.87,-72.7,90,5.7,IV Abancay III Cusco  ,26 Km al N de Chuquibambilla,
,,-17.14,-72.3,15,3.7,II Mollendo,34 Km al O de Mollendo,
,,-14.56,-75.7,72,4.6,III Ica  Palpa  II Pisco  ,54 Km al S de Ica,
,,-12.81,-76.56,74,4.1,"II-III Calango,Mala;II Lima",19 Km al S-SE de Mala,
,,-17.77,-69.96,177,4.6,II Tarata,34 Km al SE de Tarata,
,,-16.66,-73.02,33,4,II Ocoña,26 Km al SE de Ocoña,
,,-12.53,-77.08,35,4.2,"III Lima; II-III Chilca, Mala",38 Km al O de Chilca,
,,-8.38,-80.4,38,4.8,"II San Pedro de Lloc, Ascope",145 Km al SO de San Pedro de Lloc,
,,-15.92,-71.72,8,4.1,II Maca,32 Km al S de Maca,
,,-13.01,-71.29,23,4.1,II-III Pilcopata  (Cuzco)   ,47 Km al NE de Paucartambo,
,,-4.54,-79.99,70,4.1,II Ayabaca  ,33 Km al O de Ayabaca,
,,-4.16,-80.99,30,4,II Talara,8 Km al SE de Mancora,
,,-17.19,-70.71,23,3.8,II Toquepala  ,15 Km al NO de Toquepala,
,,-12.45,-77.19,56,4,II Lima  ,44 Km al S de Callao,
,,-4.57,-80.61,27,3.7,II Sullana,37 Km al N de Sullana,
,,-12.04,-77.66,40,5.1,"III-IV Callao, Lima",58 Km al O de Callao,
,,-12.04,-77.46,49,3.9,II Callao  Lima  ,36 Km al O de Callao,
,,-4.09,-81.15,28,3.9,II Mancora,12 Km al O de Mancora,
,,-6.66,-78.63,12,4,II Bambamarca,12 Km al O de Bambamarca,
,,-13.06,-76.3,40,3.8,II San Vicente de Cañete,9 Km al E de San Vicente de Cañete,
,,-14.7,-75.87,45,4.8,II Ica  ,72 Km al S de Ica,
,,-14.86,-75.61,45,4.6,"III Palpa, II Nazca  ",60 Km al SO de Palpa,
,,-15.67,-71.91,20,4.5,III Cabanaconde,10 Km al SE de Cabanaconde,
,,-15.75,-71.93,20,4.2,II Cabanaconde,15 KM al S de Cabanaconde,
,,-15.86,-72.32,60,4.1,II Huambo,27 KM al SO de Huambo,
,,-16,-71.9,14,4,III Huambo,38 KM al SE de Huambo,
,,-15.71,-72,15,3.9,II Huambo  ,10 Km al S de Cabanaconde,
,,-15.76,-72.03,9,5.7,"V-VI Huambo,  Cabanaconde, Choco; V Maca, Madrigal; IV Aplao; III Arequipa   ",9 Km al E de Huambo,
,,-5.95,-76.16,74,4.6,II Lamas,64 km al NE de Lamas,
,,-4.52,-80.6,24,4.1,II Sullana,42 Km al NE de Sullana,
,,-19.08,-69.75,156,5,"II Tacna, Moquegua",131 Km al SE de Tacna,
,,-16.72,-71.55,46,4.1,"III Arequipa, Mollendo",36 Km al sur de Arequipa,
,,-19.51,-70,132,5.5,"III Tacna; II Moquegua, Arequipa",169 Km al Sur de Tacna,
,,-13.96,-73.43,16,4.1,II Andahuaylas,34 Km al S de Andahuaylas,
,,-6.01,-75.42,37,4.5,II Yurimaguas,78 Km al E de Yurimaguas,
,,-12.63,-77.18,38,4.2,"III Chilca, II Lima, Callao",50Km al O de Chilca,
,,-14.25,-75.87,52,4.3,III Ica; II Pisco,26 Km SO de Ica,
,,-9.78,-74.73,135,5.1,II-III Pozuzo; II Oxapampa,97 Km al NE de Pozuzo,
,,-15.8,-72.04,16,3.8,III Huambo  II Cabanaconde  ,11 Km al SE de Huambo,
,,-15.77,-72.05,12,3.7,II Huambo,8 Km al SE de Huambo,
,,-15.81,-72.04,8,3.8,II Huambo   ,12 Km al SE de Huambo,
,,-15.67,-72.03,10,3.9,II Huambo  ,8 Km al SO de Cabanaconde,
,,-16.92,-72.38,43,4.4,III Quilca  Mollendo  II Arequipa  ,24 Km al S de Quilca,
,,-15.73,-72.03,17,4,II Huambo  ,9 Km al E de Huambo,
,,-9.08,-78.9,69,4.7,III-IV Chimbote; III Trujillo; II Huaraz  ,34 Km al O de Chimbote,
,,-7.03,-78.59,24,3.9,II Cajamarca,16 Km al NO de Cajamarca,
,,-16.78,-71.7,30,3.9,II Arequipa  ,44 Km al SE de Vitor,
,,-16.68,-71.52,33,4,II Arequipa,32 Km al S de Arequipa,
,,-5.6,-80.92,38,4.1, II Sechura  ,12 Km al SO de Sechura,
,,-5.16,-80.74,56,4.7,IV Piura; III Sullana  ,13 Km al O de Piura,
,,-8.81,-79.99,44,4.5,II Trujillo,116 km al O-SO de Trujillo,
,,-15.75,-72.01,7,4.5,II Huambo,11 km al E de Huambo,
,,-17.89,-69.98,120,4.6,II Tacna  ,20 Km al E de Calana,
,,-17.89,-70.76,60,4.5,"II-III Tacna, Ilo; II Arequipa",31 Km al S de Locumba,
,,-5.12,-81.96,17,5.8,IV Paita  II III Talara  Sullana  ,93 Km al O de Paita,
,,-6.32,-80.14,58,4.5,"III Olmos, II Chiclayo",46 km SO de Olmos,
,,-6.92,-81.18,30,4.3,II Pimentel,139 km al O de Pimentel,
,,-14.28,-76.57,21,4,II Pisco,75 Km al SO de Pisco,
,,-8.64,-79.67,36,4.6,"III Trujillo, Salaverry; II Ascope",33 Km al Sur de Trujillo,
,,-10.74,-74.91,21,4.2,II-III Pichanaki,50 Km al S de Puerto Bermudez,
,,-17.45,-70.85,17,4,II Moquegua  ,20 Km al NO de Locumba,
,,-17.32,-71.23,22,3.8,II Moquegua  ,36 Km al SO de Moquegua,
,,-12,-76.91,78,3.7,   II Lima,13 Km al E-NE de Lima,
,,-15.89,-71.75,21,4,II Chivay,33 Km al SO de Chivay,
,,-9.8,-78.65,30,4.2, II Casma  ,53 Km al SO de Casma,
,,-12.09,-75.57,45,4.3,II Jauja,37 Km al SO de Jauja,
,,-12.13,-75.68,38,4.2,II Jauja,45 Km al SO de Jauja,
,,-16.69,-71.6,33,3.8,II Arequipa  ,34 Km al S de Arequipa,
,,-6.02,-81.26,42,4.2,II Paita,106 Km al S de Paita,
,,-15.85,-73.23,55,4.5,II Caravelí,18 Km al SE de Caravelí,
,,-16.14,-73.05,65,4.2,II Caravelí,53 km al SE de Caravelí,
,,-12.46,-76.85,59,4,II Lima  ,13 Km al NO de Chilca,
,,-16.15,-74.87,31,6.9,"V-VI Acari, Caraveli; IV Arequipa, Ica III; Huancavelica II Cusco",65 Km al S de Lomas,
,,-16.13,-74.71,30,4.4,II Yauca  ,61 Km al SO de Chala,
,,-14.64,-75.48,62,4.3,"II Ica, Palpa  ",35 Km al O de Palpa,
,,-5.88,-76.68,30,4.1,II-III Moyobamba,37 km al NE de Moyobamba,
,,-16.82,-71.88,38,3.9,II Mollendo,27 Km al NE de Mollendo,
,,-16.33,-73.3,39,4.3,II Ocoña,25 Km al NO de Ocoña,
,,-15.79,-72.09,14,4,III Huambo II Cabanaconde,7 Km al SE de Huambo,
,,-15.87,-71.92,16,3.9,II Huambo,26 Kmal SE de Huambo,
,,-12.7,-70.63,139,4.7,II Puerto Maldonado  ,139 Km al O de Puerto Maldonado,
,,-14.76,-75.58,36,4,II-III Palpa  ,51 Km al SO de Palpa,
,,-14.28,-76.09,44,3.9,II Ica  ,47 Km al SO de Ica,
,,-17.1,-72.23,48,4.1,II Mollendo  ,26 Km al O de Mollendo,
,,-17.12,-72.28,52,4.1,II Mollendo,31 Km al OSO de Mollendo,
,,-14.58,-76.12,41,4.4,II-III Ica;  II Tinguiña  ,72 Km al SO de Ica,
,,-9.88,-78.75,45,4.5,II Huarmey  ,70 Km al O de Huarmey,
,,-15.8,-74.6,58,4.2,II Yauca  ,38 Km al SE de Lomas,
,,-17.07,-71.7,46,4.1,II Punta de Bombon  ,15 Km al NE de Punta de Bombon,
,,-12.31,-77.23,45,3.9,II Callao  Lima  ,29 Km al S de Callao,
,,-12.34,-76.8,60,3.8,II Chilca  ,20 Km al N de Chilca,
,,-12.49,-77.03,43,4.3,"II Chilca, Lima",32 km al O de Chilca,
,,-14.92,-76.07,19,4.5,II Ica,102 Km al S de Ica,
,,-18.47,-70.81,37,4.5,"II, III Tacna  ",78 Km al SO de Tacna,
,,-11.38,-77.16,83,3.8,II Ancon,42 Km al N de Ancon,
,,-13.56,-76.12,89,4.4,"III Chincha Alta, II Pisco",15 Km al S de Chincha Alta,
,,-18.18,-69.66,151,4.5,II Tacna  ,65 Km al ESE de Tacna,
,,-16.32,-72.06,17,4,II Vitor (Arequipa),21 Km al NO de Vitor,
,,-15.91,-71.77,21,4.2,II Maca  ,20 Km al N de Yura,
,,-15.55,-72,142,5,II Arequipa  ,8 Km al N de Cabanaconde,
,,-12.32,-76.92,59,3.8,II Lima  ,29 Km al NO de Chilca,
,,-14.29,-76.55,21,4.3,II Ica,75 km S-SO de Pisco,
,,-16.93,-71.88,56,3.9,II Mollendo  ,18 Km al NE de Mollendo,
,,-11.45,-73.31,26,4.1,II Atalaya  ,95 Km al SE de Atalaya,
,,-16.71,-72.33,70,4.1,II Quilca  ,10 Km al E de Quilca,
,,-17.3,-71.25,25,4,II Moquegua  ,36 Km al OSO de Moquegua,
,,-9.05,-75.53,112,4.2,II Tingo Maria  ,58 Km al ENE de Tingo Maria,
,,-15.89,-71.75,22,3.8,   II Arequipa,28 Km al S de Maca,
,,-8.99,-78.71,61,3.9,II Chimbote  ,16 Km al NO de Chimbote,
