fecha,hora,latitud,longitud,profundidad,magnitud,intensidad,referencia,reporte_acelerometrico_pdf
,,-4.47,-79.74,25,4,II Ayabaca  ,19 Km al N de Ayabaca ,
,,-12.17,-77.65,44,4.2,"II Callao, Lima  ",57 Km al O de Callao ,
,,-10.98,-74.8,22,4.2,"II Satipo, La Merced  ",35 Km al NO de Satipo ,
,,-14.71,-76.13,34,5.6,IV Ica,84 Km al SSO de Ica ,
,,-4.27,-76.38,128,5.2,"II Bagua, Nueva Cajamarca  ",283 Km al E-NE de Bagua ,
,,-12.12,-77.05,54,3.8,II Lima  ,8 Km al S de Lima ,
,,-15.91,-73.57,85,4.2,II Caravelí   ,28 Km al SO de Caravelí ,
,,-11.9,-76.35,22,4,"II Lima, Matucana  ",7 Km al SE de Matucana ,
,,-11.86,-76.37,24,4.1,"II-III Lima, Matucana  ",2 Km al SE de Matucana ,
,,-10.45,-78.58,36,4.3,II Huarmey  ,64 Km al SO de Huarmey ,
,,-14.36,-75.3,65,4.2,II Palpa  ,23 Km al NO de Palpa ,
,,-16.85,-71.99,58,4.2,"II Arequipa, Mollendo",70 Km al SO de Arequipa,
,,-17.45,-71.99,45,4.5,"III Mollendo; II Camana, Arequipa",48 Km al SO de Mollendo ,
,,-16.48,-71.74,65,4,"II Arequipa, Vitor",23 km al O-SO de  Arequipa,
,,-15.48,-75.65,32,4.9,"II Ica, Palpa, Nasca ",107 Km al SO de Nasca ,
,,-15.42,-75.65,32,4.7,"II Ica, Nasca  ",101 Km al SO de Nasca ,
,,-15.41,-74.99,51,4.1,II Acarí  ,41 Km al O de Acari ,
,,-16.75,-71.83,26,4.4,"III Arequipa, Vitor; II Mollendo",23 Km al O-SO de Arequipa,
,,-14.54,-76.3,20,4.6,II Ica,86 Km al S-O de Ica,
,,-12.61,-77.2,48,3.9,II Lima,61 Km al S del Callao ,
,,-10.87,-78.09,34,4.2,II-III Barranca,39 Km al O de Barranca,
,,-16.05,-73.54,48,4,"II Atico, Caravelí",36 Km al S-O de Caravelí,
,,-9.25,-79.05,50,4.3,II Chimbote,56 Km al O de Chimbote,
,,-12.04,-77.71,37,4.4,II Lima,63 Km al O de Callao,
,,-13.13,-76.17,61,4,II San Vicente de Cañete,25 Km al E de San Vicente de Cañete,
,,-14.37,-76.02,54,6.3,"V Ica; IV-V Pisco; IV Chincha, Palpa, San Vicente de Cañete",47 Km al SO de Ica,
,,-14.24,-75.82,58,4,II Ica,22 Km al S-SO de Ica,
,,-13.42,-71.9,13,3.8,II Cusco,12 Km al S-E de Cusco ,
,,-16.35,-73.84,64,4.4,II Atico,83 Km al SO de Caravelí,
,,-9.8,-78.86,51,4.3,III Casma; II Chimbote,71 Km al S-O de Casma,
,,-16.4,-72.67,86,4.4,II Camana,25 Km al N de Camana,
