fecha,hora,latitud,longitud,profundidad,magnitud,intensidad,referencia,reporte_acelerometrico_pdf
,,-11.19,-78.42,25,4.1,II Huacho  ,87 Km al SO de Puerto Supe,
,,-10.17,-75.64,20,4.5,II-III Oxapampa  ,12 Km al SO de Pozuzo,
,,-13.45,-72,14,3.6,  II Cusco ,7 Km al N de Cuzco,
,,-10.11,-77.86,89,4.3,II-III Huarmey; II Barranca  ,32 Km al E de Huarmey,
,,-4.76,-80.69,34,4.5,"III Piura, Sullana; II Paita, Chulucanas",49 Km al N de Piura,
,,-5.4,-80.72,38,4.4,III Piura; II Sullana   ,24 Km al Sur-SO de Piura,
,,-5.06,-80.03,60,4.8,IV Chulucanas; III Piura,68 km al E-NE de Piura,
,,-5.32,-78.67,28,4.2,II Jaen,45 km al NE de Jaen,
,,-5.75,-78.71,21,4,II Jaen,12 al SE de Jaen,
,,-13.74,-76.43,36,4.3,III Pisco;  II Chincha Alta  ,26 Km al O de Pisco,
,,-15.63,-72.12,141,4.6,"III Cabanaconde, II Huambo",16 KM al O de Cabanaconde,
,,-15.19,-71.97,39,4.1,"II Cabanaconde,  Madrigal  ",48 Km al N de Cabanaconde,
,,-12.25,-76.63,91,4.1,II Chilca  ,31 Km al NE de Chilca,
,,-3.77,-81.39,37,5.4," III Mancora, Talara; II Tumbes  ",54 Km al NO de Mancora,
,,-16.99,-72.6,38,4.1,II Camaná,43 Km al Sur-SE de Camaná,
,,-18.66,-69.93,120,5.4,III-IV Tacna;  III Moquegua;  II Arequipa  ,80 Km al SE de Tacna,
,,-15.58,-72.78,53,4.1,II Pampacolca  ,27 Km al Oeste-NO de Pampacolca,
,,-16.16,-74.41,51,5,III-IV Chala;  III Yauca;  II-III Acari  Caraveli ,39 Km al SO de Chala,
,,-13.79,-76.39,48,4.1,II Pisco,23 Km al Oeste-SO Pisco,
,,-12.25,-77,65,3.9,II-III Lima,25 Km al S de Lima,
,,-11.47,-77.87,54,4.1,II Lima  ,49 Km al SO de Huacho,
,,-18.54,-69.41,54,4.8,II Tacna  ,107 Km al SE de Tacna,
,,-10.63,-75.06,33,4.3,II Oxapampa,37 km al E de Oxapampa,
,,-14.56,-76.13,44,5.6,"IV Ica, La Tinguiña, Pisco, III Lima",71 Km al Sur-SO de Ica,
,,-14.1,-75.57,40,4.2,II Ica,15 Km al E de Ica,
,,-12.83,-76.99,38,4.1,"II Chilca,  Lima  ",44 Km al O-SO de Mala,
,,-12.06,-77.51,44,4.1,III Ancon II Lima,50 Km al SO de Ancon,
,,-11.19,-77.11,72,4.4,"II Huaral, Huacho  ",35 Km al N-NE de Huaral,
,,-9.44,-79.02,48,4.1,II-III Chimbote,63 km al SO de Chimbote,
